R_lo,R_hi,C_lo,C_hi,count
4.5,5.0,9.0,9.5,11
4.5,5.0,9.5,10.0,11
4.5,5.0,10.0,10.5,8
4.5,5.0,10.5,11.0,9
4.5,5.0,11.0,11.5,6
4.5,5.0,11.5,12.0,4
4.5,5.0,12.0,12.5,10
4.5,5.0,12.5,13.0,7
4.5,5.0,13.0,13.5,4
4.5,5.0,13.5,14.0,3
4.5,5.0,14.0,14.5,5
4.5,5.0,14.5,15.0,6
4.5,5.0,15.0,15.5,10
4.5,5.0,15.5,16.0,2
4.5,5.0,16.0,16.5,1
4.5,5.0,16.5,17.0,4
4.5,5.0,17.0,17.5,4
4.5,5.0,17.5,18.0,1
4.5,5.0,18.0,18.5,3
4.5,5.0,18.5,19.0,3
4.5,5.0,19.0,19.5,4
4.5,5.0,19.5,20.0,4
4.5,5.0,20.0,20.5,3
4.5,5.0,20.5,21.0,7
4.5,5.0,21.5,22.0,1
4.5,5.0,23.5,24.0,4
4.5,5.0,24.0,24.5,11
4.5,5.0,27.0,27.5,2
4.5,5.0,28.0,28.5,1
4.5,5.0,29.5,30.0,2
4.5,5.0,30.0,30.5,1
4.5,5.0,30.5,31.0,1
5.0,5.5,1.5,2.0,1
5.0,5.5,2.0,2.5,1
5.0,5.5,2.5,3.0,1
5.0,5.5,3.0,3.5,4
5.0,5.5,3.5,4.0,5
5.0,5.5,4.0,4.5,18
5.0,5.5,4.5,5.0,19
5.0,5.5,5.0,5.5,21
5.0,5.5,5.5,6.0,21
5.0,5.5,6.0,6.5,30
5.0,5.5,6.5,7.0,19
5.0,5.5,7.0,7.5,30
5.0,5.5,7.5,8.0,15
5.0,5.5,8.0,8.5,23
5.0,5.5,8.5,9.0,28
5.0,5.5,9.0,9.5,17
5.0,5.5,9.5,10.0,14
5.0,5.5,10.0,10.5,12
5.0,5.5,10.5,11.0,16
5.0,5.5,11.0,11.5,14
5.0,5.5,11.5,12.0,13
5.0,5.5,12.0,12.5,19
5.0,5.5,12.5,13.0,11
5.0,5.5,13.0,13.5,13
5.0,5.5,13.5,14.0,11
5.0,5.5,14.0,14.5,8
5.0,5.5,14.5,15.0,13
5.0,5.5,15.0,15.5,12
5.0,5.5,15.5,16.0,2
5.0,5.5,16.0,16.5,11
5.0,5.5,16.5,17.0,3
5.0,5.5,17.0,17.5,11
5.0,5.5,17.5,18.0,8
5.0,5.5,18.0,18.5,3
5.0,5.5,18.5,19.0,2
5.0,5.5,19.0,19.5,4
5.0,5.5,19.5,20.0,3
5.0,5.5,20.0,20.5,7
5.0,5.5,20.5,21.0,4
5.0,5.5,21.0,21.5,3
5.0,5.5,21.5,22.0,3
5.0,5.5,23.5,24.0,11
5.0,5.5,24.0,24.5,10
5.0,5.5,26.5,27.0,1
5.0,5.5,27.0,27.5,2
5.0,5.5,28.0,28.5,1
5.0,5.5,28.5,29.0,1
5.0,5.5,30.0,30.5,3
5.0,5.5,30.5,31.0,1
5.0,5.5,33.5,34.0,1
5.5,6.0,2.5,3.0,3
5.5,6.0,3.0,3.5,1
5.5,6.0,3.5,4.0,5
5.5,6.0,4.0,4.5,6
5.5,6.0,4.5,5.0,14
5.5,6.0,5.0,5.5,24
5.5,6.0,5.5,6.0,24
5.5,6.0,6.0,6.5,36
5.5,6.0,6.5,7.0,23
5.5,6.0,7.0,7.5,22
5.5,6.0,7.5,8.0,23
5.5,6.0,8.0,8.5,25
5.5,6.0,8.5,9.0,14
5.5,6.0,9.0,9.5,20
5.5,6.0,9.5,10.0,14
5.5,6.0,10.0,10.5,15
5.5,6.0,10.5,11.0,14
5.5,6.0,11.0,11.5,12
5.5,6.0,11.5,12.0,8
5.5,6.0,12.0,12.5,12
5.5,6.0,12.5,13.0,9
5.5,6.0,13.0,13.5,14
5.5,6.0,13.5,14.0,10
5.5,6.0,14.0,14.5,12
5.5,6.0,14.5,15.0,11
5.5,6.0,15.0,15.5,9
5.5,6.0,15.5,16.0,7
5.5,6.0,16.0,16.5,6
5.5,6.0,16.5,17.0,9
5.5,6.0,17.0,17.5,5
5.5,6.0,17.5,18.0,7
5.5,6.0,18.0,18.5,3
5.5,6.0,18.5,19.0,5
5.5,6.0,19.0,19.5,5
5.5,6.0,19.5,20.0,5
5.5,6.0,20.0,20.5,4
5.5,6.0,20.5,21.0,4
5.5,6.0,21.0,21.5,2
5.5,6.0,21.5,22.0,3
5.5,6.0,22.0,22.5,2
5.5,6.0,23.5,24.0,4
5.5,6.0,24.0,24.5,10
5.5,6.0,28.5,29.0,1
5.5,6.0,30.0,30.5,2
5.5,6.0,31.0,31.5,1
5.5,6.0,32.0,32.5,1
5.5,6.0,34.0,34.5,1
6.0,6.5,2.0,2.5,1
6.0,6.5,2.5,3.0,1
6.0,6.5,3.0,3.5,5
6.0,6.5,3.5,4.0,3
6.0,6.5,4.0,4.5,6
6.0,6.5,4.5,5.0,20
6.0,6.5,5.0,5.5,30
6.0,6.5,5.5,6.0,27
6.0,6.5,6.0,6.5,55
6.0,6.5,6.5,7.0,45
6.0,6.5,7.0,7.5,41
6.0,6.5,7.5,8.0,40
6.0,6.5,8.0,8.5,49
6.0,6.5,8.5,9.0,43
6.0,6.5,9.0,9.5,25
6.0,6.5,9.5,10.0,30
6.0,6.5,10.0,10.5,30
6.0,6.5,10.5,11.0,33
6.0,6.5,11.0,11.5,26
6.0,6.5,11.5,12.0,15
6.0,6.5,12.0,12.5,18
6.0,6.5,12.5,13.0,19
6.0,6.5,13.0,13.5,22
6.0,6.5,13.5,14.0,15
6.0,6.5,14.0,14.5,13
6.0,6.5,14.5,15.0,14
6.0,6.5,15.0,15.5,10
6.0,6.5,15.5,16.0,10
6.0,6.5,16.0,16.5,18
6.0,6.5,16.5,17.0,14
6.0,6.5,17.0,17.5,15
6.0,6.5,17.5,18.0,5
6.0,6.5,18.0,18.5,8
6.0,6.5,18.5,19.0,7
6.0,6.5,19.0,19.5,9
6.0,6.5,19.5,20.0,7
6.0,6.5,20.0,20.5,12
6.0,6.5,20.5,21.0,6
6.0,6.5,21.0,21.5,6
6.0,6.5,21.5,22.0,7
6.0,6.5,22.0,22.5,3
6.0,6.5,23.5,24.0,16
6.0,6.5,24.0,24.5,18
6.0,6.5,26.0,26.5,3
6.0,6.5,26.5,27.0,2
6.0,6.5,27.0,27.5,3
6.0,6.5,27.5,28.0,1
6.0,6.5,28.0,28.5,2
6.0,6.5,28.5,29.0,3
6.0,6.5,29.5,30.0,2
6.0,6.5,30.0,30.5,1
6.0,6.5,38.0,38.5,1
6.5,7.0,3.0,3.5,1
6.5,7.0,3.5,4.0,3
6.5,7.0,4.0,4.5,5
6.5,7.0,4.5,5.0,6
6.5,7.0,5.0,5.5,18
6.5,7.0,5.5,6.0,25
6.5,7.0,6.0,6.5,39
6.5,7.0,6.5,7.0,46
6.5,7.0,7.0,7.5,60
6.5,7.0,7.5,8.0,40
6.5,7.0,8.0,8.5,55
6.5,7.0,8.5,9.0,49
6.5,7.0,9.0,9.5,41
6.5,7.0,9.5,10.0,35
6.5,7.0,10.0,10.5,38
6.5,7.0,10.5,11.0,19
6.5,7.0,11.0,11.5,21
6.5,7.0,11.5,12.0,13
6.5,7.0,12.0,12.5,23
6.5,7.0,12.5,13.0,24
6.5,7.0,13.0,13.5,22
6.5,7.0,13.5,14.0,16
6.5,7.0,14.0,14.5,17
6.5,7.0,14.5,15.0,15
6.5,7.0,15.0,15.5,14
6.5,7.0,15.5,16.0,15
6.5,7.0,16.0,16.5,16
6.5,7.0,16.5,17.0,10
6.5,7.0,17.0,17.5,7
6.5,7.0,17.5,18.0,8
6.5,7.0,18.0,18.5,9
6.5,7.0,18.5,19.0,7
6.5,7.0,19.0,19.5,9
6.5,7.0,19.5,20.0,5
6.5,7.0,20.0,20.5,9
6.5,7.0,20.5,21.0,10
6.5,7.0,21.0,21.5,5
6.5,7.0,21.5,22.0,4
6.5,7.0,22.0,22.5,2
6.5,7.0,22.5,23.0,1
6.5,7.0,23.5,24.0,9
6.5,7.0,24.0,24.5,18
6.5,7.0,26.0,26.5,2
6.5,7.0,26.5,27.0,1
6.5,7.0,27.0,27.5,2
6.5,7.0,27.5,28.0,1
6.5,7.0,28.5,29.0,3
6.5,7.0,29.0,29.5,1
6.5,7.0,29.5,30.0,1
6.5,7.0,30.0,30.5,2
6.5,7.0,32.0,32.5,4
6.5,7.0,33.5,34.0,2
6.5,7.0,35.5,36.0,1
6.5,7.0,36.0,36.5,1
7.0,7.5,1.5,2.0,1
7.0,7.5,2.0,2.5,1
7.0,7.5,3.0,3.5,1
7.0,7.5,4.0,4.5,2
7.0,7.5,4.5,5.0,9
7.0,7.5,5.0,5.5,9
7.0,7.5,5.5,6.0,16
7.0,7.5,6.0,6.5,39
7.0,7.5,6.5,7.0,47
7.0,7.5,7.0,7.5,79
7.0,7.5,7.5,8.0,56
7.0,7.5,8.0,8.5,66
7.0,7.5,8.5,9.0,60
7.0,7.5,9.0,9.5,43
7.0,7.5,9.5,10.0,45
7.0,7.5,10.0,10.5,49
7.0,7.5,10.5,11.0,37
7.0,7.5,11.0,11.5,28
7.0,7.5,11.5,12.0,23
7.0,7.5,12.0,12.5,31
7.0,7.5,12.5,13.0,30
7.0,7.5,13.0,13.5,31
7.0,7.5,13.5,14.0,21
7.0,7.5,14.0,14.5,23
7.0,7.5,14.5,15.0,22
7.0,7.5,15.0,15.5,18
7.0,7.5,15.5,16.0,18
7.0,7.5,16.0,16.5,19
7.0,7.5,16.5,17.0,17
7.0,7.5,17.0,17.5,20
7.0,7.5,17.5,18.0,15
7.0,7.5,18.0,18.5,8
7.0,7.5,18.5,19.0,8
7.0,7.5,19.0,19.5,14
7.0,7.5,19.5,20.0,10
7.0,7.5,20.0,20.5,9
7.0,7.5,20.5,21.0,10
7.0,7.5,21.0,21.5,6
7.0,7.5,21.5,22.0,5
7.0,7.5,22.0,22.5,7
7.0,7.5,23.5,24.0,11
7.0,7.5,24.0,24.5,15
7.0,7.5,26.0,26.5,1
7.0,7.5,26.5,27.0,2
7.0,7.5,27.0,27.5,1
7.0,7.5,28.0,28.5,2
7.0,7.5,28.5,29.0,3
7.0,7.5,29.5,30.0,3
7.0,7.5,30.0,30.5,3
7.0,7.5,32.0,32.5,4
7.0,7.5,33.5,34.0,2
7.5,8.0,3.0,3.5,1
7.5,8.0,3.5,4.0,1
7.5,8.0,4.0,4.5,4
7.5,8.0,4.5,5.0,2
7.5,8.0,5.0,5.5,7
7.5,8.0,5.5,6.0,15
7.5,8.0,6.0,6.5,22
7.5,8.0,6.5,7.0,35
7.5,8.0,7.0,7.5,52
7.5,8.0,7.5,8.0,41
7.5,8.0,8.0,8.5,75
7.5,8.0,8.5,9.0,45
7.5,8.0,9.0,9.5,56
7.5,8.0,9.5,10.0,39
7.5,8.0,10.0,10.5,46
7.5,8.0,10.5,11.0,41
7.5,8.0,11.0,11.5,27
7.5,8.0,11.5,12.0,23
7.5,8.0,12.0,12.5,35
7.5,8.0,12.5,13.0,22
7.5,8.0,13.0,13.5,21
7.5,8.0,13.5,14.0,26
7.5,8.0,14.0,14.5,27
7.5,8.0,14.5,15.0,16
7.5,8.0,15.0,15.5,20
7.5,8.0,15.5,16.0,9
7.5,8.0,16.0,16.5,18
7.5,8.0,16.5,17.0,12
7.5,8.0,17.0,17.5,18
7.5,8.0,17.5,18.0,9
7.5,8.0,18.0,18.5,12
7.5,8.0,18.5,19.0,10
7.5,8.0,19.0,19.5,9
7.5,8.0,19.5,20.0,6
7.5,8.0,20.0,20.5,12
7.5,8.0,20.5,21.0,10
7.5,8.0,21.0,21.5,7
7.5,8.0,21.5,22.0,3
7.5,8.0,22.0,22.5,4
7.5,8.0,22.5,23.0,1
7.5,8.0,23.5,24.0,8
7.5,8.0,24.0,24.5,6
7.5,8.0,26.0,26.5,1
7.5,8.0,27.0,27.5,1
7.5,8.0,27.5,28.0,1
7.5,8.0,28.0,28.5,1
7.5,8.0,28.5,29.0,2
7.5,8.0,29.0,29.5,1
7.5,8.0,30.0,30.5,1
7.5,8.0,35.5,36.0,2
7.5,8.0,37.5,38.0,1
8.0,8.5,2.5,3.0,2
8.0,8.5,3.0,3.5,1
8.0,8.5,3.5,4.0,2
8.0,8.5,4.0,4.5,3
8.0,8.5,4.5,5.0,1
8.0,8.5,5.0,5.5,9
8.0,8.5,5.5,6.0,11
8.0,8.5,6.0,6.5,29
8.0,8.5,6.5,7.0,28
8.0,8.5,7.0,7.5,67
8.0,8.5,7.5,8.0,59
8.0,8.5,8.0,8.5,108
8.0,8.5,8.5,9.0,93
8.0,8.5,9.0,9.5,95
8.0,8.5,9.5,10.0,82
8.0,8.5,10.0,10.5,96
8.0,8.5,10.5,11.0,75
8.0,8.5,11.0,11.5,82
8.0,8.5,11.5,12.0,54
8.0,8.5,12.0,12.5,84
8.0,8.5,12.5,13.0,54
8.0,8.5,13.0,13.5,63
8.0,8.5,13.5,14.0,35
8.0,8.5,14.0,14.5,51
8.0,8.5,14.5,15.0,28
8.0,8.5,15.0,15.5,34
8.0,8.5,15.5,16.0,29
8.0,8.5,16.0,16.5,38
8.0,8.5,16.5,17.0,26
8.0,8.5,17.0,17.5,50
8.0,8.5,17.5,18.0,21
8.0,8.5,18.0,18.5,30
8.0,8.5,18.5,19.0,20
8.0,8.5,19.0,19.5,16
8.0,8.5,19.5,20.0,9
8.0,8.5,20.0,20.5,11
8.0,8.5,20.5,21.0,34
8.0,8.5,21.0,21.5,14
8.0,8.5,21.5,22.0,5
8.0,8.5,22.0,22.5,4
8.0,8.5,22.5,23.0,1
8.0,8.5,23.5,24.0,16
8.0,8.5,24.0,24.5,26
8.0,8.5,25.0,25.5,1
8.0,8.5,25.5,26.0,1
8.0,8.5,26.0,26.5,3
8.0,8.5,27.0,27.5,2
8.0,8.5,28.0,28.5,2
8.0,8.5,28.5,29.0,1
8.0,8.5,29.5,30.0,2
8.0,8.5,30.0,30.5,2
8.0,8.5,32.0,32.5,3
8.0,8.5,33.5,34.0,2
8.0,8.5,35.5,36.0,3
8.0,8.5,36.0,36.5,1
8.0,8.5,38.0,38.5,1
8.0,8.5,39.5,40.0,2
8.5,9.0,2.0,2.5,1
8.5,9.0,4.0,4.5,3
8.5,9.0,4.5,5.0,1
8.5,9.0,5.0,5.5,3
8.5,9.0,5.5,6.0,7
8.5,9.0,6.0,6.5,12
8.5,9.0,6.5,7.0,21
8.5,9.0,7.0,7.5,43
8.5,9.0,7.5,8.0,38
8.5,9.0,8.0,8.5,78
8.5,9.0,8.5,9.0,89
8.5,9.0,9.0,9.5,87
8.5,9.0,9.5,10.0,59
8.5,9.0,10.0,10.5,87
8.5,9.0,10.5,11.0,55
8.5,9.0,11.0,11.5,49
8.5,9.0,11.5,12.0,47
8.5,9.0,12.0,12.5,71
8.5,9.0,12.5,13.0,46
8.5,9.0,13.0,13.5,55
8.5,9.0,13.5,14.0,39
8.5,9.0,14.0,14.5,42
8.5,9.0,14.5,15.0,29
8.5,9.0,15.0,15.5,33
8.5,9.0,15.5,16.0,15
8.5,9.0,16.0,16.5,33
8.5,9.0,16.5,17.0,30
8.5,9.0,17.0,17.5,22
8.5,9.0,17.5,18.0,13
8.5,9.0,18.0,18.5,27
8.5,9.0,18.5,19.0,9
8.5,9.0,19.0,19.5,20
8.5,9.0,19.5,20.0,11
8.5,9.0,20.0,20.5,11
8.5,9.0,20.5,21.0,16
8.5,9.0,21.0,21.5,8
8.5,9.0,21.5,22.0,5
8.5,9.0,22.0,22.5,7
8.5,9.0,22.5,23.0,5
8.5,9.0,23.5,24.0,15
8.5,9.0,24.0,24.5,19
8.5,9.0,25.0,25.5,3
8.5,9.0,25.5,26.0,2
8.5,9.0,27.0,27.5,1
8.5,9.0,27.5,28.0,1
8.5,9.0,28.0,28.5,1
8.5,9.0,28.5,29.0,7
8.5,9.0,29.0,29.5,1
8.5,9.0,29.5,30.0,1
8.5,9.0,30.0,30.5,3
8.5,9.0,31.5,32.0,1
8.5,9.0,32.0,32.5,1
8.5,9.0,33.0,33.5,1
8.5,9.0,33.5,34.0,1
8.5,9.0,34.5,35.0,1
8.5,9.0,38.0,38.5,1
8.5,9.0,39.0,39.5,1
9.0,9.5,3.5,4.0,1
9.0,9.5,4.0,4.5,1
9.0,9.5,4.5,5.0,2
9.0,9.5,5.0,5.5,4
9.0,9.5,5.5,6.0,1
9.0,9.5,6.0,6.5,3
9.0,9.5,6.5,7.0,16
9.0,9.5,7.0,7.5,18
9.0,9.5,7.5,8.0,35
9.0,9.5,8.0,8.5,62
9.0,9.5,8.5,9.0,82
9.0,9.5,9.0,9.5,101
9.0,9.5,9.5,10.0,100
9.0,9.5,10.0,10.5,106
9.0,9.5,10.5,11.0,87
9.0,9.5,11.0,11.5,89
9.0,9.5,11.5,12.0,63
9.0,9.5,12.0,12.5,100
9.0,9.5,12.5,13.0,43
9.0,9.5,13.0,13.5,46
9.0,9.5,13.5,14.0,35
9.0,9.5,14.0,14.5,49
9.0,9.5,14.5,15.0,48
9.0,9.5,15.0,15.5,35
9.0,9.5,15.5,16.0,26
9.0,9.5,16.0,16.5,41
9.0,9.5,16.5,17.0,26
9.0,9.5,17.0,17.5,26
9.0,9.5,17.5,18.0,12
9.0,9.5,18.0,18.5,21
9.0,9.5,18.5,19.0,20
9.0,9.5,19.0,19.5,21
9.0,9.5,19.5,20.0,7
9.0,9.5,20.0,20.5,9
9.0,9.5,20.5,21.0,12
9.0,9.5,21.0,21.5,21
9.0,9.5,21.5,22.0,10
9.0,9.5,22.0,22.5,10
9.0,9.5,22.5,23.0,10
9.0,9.5,23.5,24.0,15
9.0,9.5,24.0,24.5,14
9.0,9.5,25.0,25.5,3
9.0,9.5,25.5,26.0,4
9.0,9.5,26.0,26.5,1
9.0,9.5,26.5,27.0,2
9.0,9.5,27.0,27.5,1
9.0,9.5,27.5,28.0,1
9.0,9.5,28.0,28.5,1
9.0,9.5,28.5,29.0,1
9.0,9.5,29.5,30.0,2
9.0,9.5,30.0,30.5,1
9.0,9.5,32.0,32.5,1
9.0,9.5,33.5,34.0,5
9.0,9.5,36.0,36.5,1
9.5,10.0,4.0,4.5,2
9.5,10.0,5.0,5.5,3
9.5,10.0,5.5,6.0,1
9.5,10.0,6.0,6.5,5
9.5,10.0,6.5,7.0,6
9.5,10.0,7.0,7.5,15
9.5,10.0,7.5,8.0,13
9.5,10.0,8.0,8.5,59
9.5,10.0,8.5,9.0,83
9.5,10.0,9.0,9.5,96
9.5,10.0,9.5,10.0,111
9.5,10.0,10.0,10.5,112
9.5,10.0,10.5,11.0,98
9.5,10.0,11.0,11.5,78
9.5,10.0,11.5,12.0,56
9.5,10.0,12.0,12.5,95
9.5,10.0,12.5,13.0,50
9.5,10.0,13.0,13.5,60
9.5,10.0,13.5,14.0,51
9.5,10.0,14.0,14.5,54
9.5,10.0,14.5,15.0,54
9.5,10.0,15.0,15.5,56
9.5,10.0,15.5,16.0,23
9.5,10.0,16.0,16.5,42
9.5,10.0,16.5,17.0,33
9.5,10.0,17.0,17.5,27
9.5,10.0,17.5,18.0,25
9.5,10.0,18.0,18.5,21
9.5,10.0,18.5,19.0,15
9.5,10.0,19.0,19.5,22
9.5,10.0,19.5,20.0,16
9.5,10.0,20.0,20.5,16
9.5,10.0,20.5,21.0,9
9.5,10.0,21.0,21.5,11
9.5,10.0,21.5,22.0,10
9.5,10.0,22.0,22.5,7
9.5,10.0,22.5,23.0,1
9.5,10.0,23.5,24.0,9
9.5,10.0,24.0,24.5,12
9.5,10.0,25.0,25.5,1
9.5,10.0,25.5,26.0,2
9.5,10.0,26.0,26.5,2
9.5,10.0,26.5,27.0,2
9.5,10.0,27.0,27.5,3
9.5,10.0,27.5,28.0,4
9.5,10.0,28.0,28.5,3
9.5,10.0,28.5,29.0,2
9.5,10.0,29.0,29.5,1
9.5,10.0,31.5,32.0,1
9.5,10.0,32.0,32.5,2
9.5,10.0,33.0,33.5,1
9.5,10.0,33.5,34.0,1
9.5,10.0,35.5,36.0,2
10.0,10.5,3.0,3.5,1
10.0,10.5,4.0,4.5,2
10.0,10.5,4.5,5.0,1
10.0,10.5,5.0,5.5,1
10.0,10.5,5.5,6.0,1
10.0,10.5,6.0,6.5,5
10.0,10.5,6.5,7.0,4
10.0,10.5,7.0,7.5,10
10.0,10.5,7.5,8.0,11
10.0,10.5,8.0,8.5,42
10.0,10.5,8.5,9.0,58
10.0,10.5,9.0,9.5,76
10.0,10.5,9.5,10.0,109
10.0,10.5,10.0,10.5,119
10.0,10.5,10.5,11.0,111
10.0,10.5,11.0,11.5,126
10.0,10.5,11.5,12.0,76
10.0,10.5,12.0,12.5,114
10.0,10.5,12.5,13.0,95
10.0,10.5,13.0,13.5,86
10.0,10.5,13.5,14.0,59
10.0,10.5,14.0,14.5,79
10.0,10.5,14.5,15.0,59
10.0,10.5,15.0,15.5,48
10.0,10.5,15.5,16.0,37
10.0,10.5,16.0,16.5,55
10.0,10.5,16.5,17.0,37
10.0,10.5,17.0,17.5,37
10.0,10.5,17.5,18.0,22
10.0,10.5,18.0,18.5,32
10.0,10.5,18.5,19.0,17
10.0,10.5,19.0,19.5,18
10.0,10.5,19.5,20.0,16
10.0,10.5,20.0,20.5,22
10.0,10.5,20.5,21.0,25
10.0,10.5,21.0,21.5,15
10.0,10.5,21.5,22.0,8
10.0,10.5,22.0,22.5,10
10.0,10.5,22.5,23.0,2
10.0,10.5,23.5,24.0,19
10.0,10.5,24.0,24.5,25
10.0,10.5,25.0,25.5,3
10.0,10.5,25.5,26.0,5
10.0,10.5,26.5,27.0,3
10.0,10.5,27.0,27.5,1
