level1,level2,level3,level4,level5,level6
-0.34358,-1.1424,-0.95493,-0.079372,0.89899,1.9427
0.089592,-1.3097,1.4022,0.37181,0.91058,2.4044
-0.21521,-2.4266,-3.104,0.67589,1.0144,-2.596
-0.54532,-4.1376,-2.7958,2.4344,2.1514,-0.030654
-1.2359,-2.1995,-0.51715,-3.1137,1.1377,0.51747
0.22551,-1.7657,-0.78001,0.68717,2.4448,1.7358
-1.2211,-0.52841,-2.2502,-2.4224,-0.69026,0.97196
-0.46459,-0.85859,-3.8949,-0.30805,-0.6428,2.3631
-0.54202,-1.6056,-2.7273,-1.2721,2.0354,-0.15953
-1.4826,-2.0692,-0.18464,-0.25422,-1.878,0.48214
-1.2035,-3.0116,1.2456,0.13847,1.0004,0.32839
-1.3636,0.14155,-1.849,-0.65262,0.56378,-0.40253
-2.4346,-0.32622,-0.79296,-0.76942,4.5463,0.71839
-0.10224,0.0078473,-2.5651,1.4572,0.047631,1.7211
-2.0258,-1.7636,-1.1395,-2.2101,-1.4519,1.7558
-1.972,-0.49563,-2.2559,-0.2873,1.7934,-0.28152
-2.1127,-1.567,-0.206,1.0854,-0.15667,0.39226
1.1353,-2.7243,-0.79532,-0.27567,6.3417,0.66826
-2.044,-0.6188,-0.45769,-2.012,0.4976,0.70182
-2.8637,-1.3441,-1.8032,-1.6406,3.0991,0.20115
-1.4425,-0.53408,-1.0063,-0.79937,-0.61156,0.32933
-0.35432,-1.3301,0.15322,-0.66558,-0.16673,-1.5458
-1.4539,-0.10684,-1.482,-2.2708,1.7495,0.020363
-1.3067,-2.1479,-0.97831,1.3699,1.4693,0.55184
0.9772,0.25578,1.6745,0.8078,-0.84247,1.0533
-1.781,-1.8563,-2.6524,-0.077724,2.2854,1.5568
-2.0584,-0.88468,0.17616,-1.2853,1.624,1.32
-3.3858,-1.7927,-0.074956,-0.54579,1.2036,-0.40902
-3.2126,-0.59784,-0.18165,-0.343,-0.048582,0.64933
-2.3776,0.27288,0.84766,-1.2391,-0.75552,1.7837
-1.1495,-0.27294,-2.6199,2.6475,-1.1983,1.5517
0.93515,-1.5495,-1.6198,-0.075672,1.9869,2.1554
-1.677,-2.0384,-1.6956,-3.168,0.86614,0.58239
-0.53354,-1.3522,-0.67005,1.3833,0.20341,-0.2721
-2.2883,0.19069,1.6055,0.092337,-1.2481,1.4107
0.18301,-0.71878,-0.84264,-2.5593,1.288,1.8626
-2.1843,-1.5095,-0.65568,0.48763,-2.2125,0.66785
-0.20628,0.27194,0.10248,-0.23818,-0.63734,2.349
-0.57109,-2.0169,-0.5797,-1.3937,-0.33092,-1.6005
-0.94012,-0.68218,-4.2374,-1.3289,-0.21498,2.2272
-1.4915,-0.95752,-2.6132,-2.3203,2.0368,0.98382
-1.3952,-1.5752,0.15586,0.41051,-1.3548,1.2144
-0.6517,-1.1212,-0.11345,1.2821,0.33264,-0.36808
-1.3376,-0.34046,-0.36526,0.098089,-1.1631,2.4782
-0.739,-1.1499,-0.29937,-3.2117,-1.4652,0.059955
-0.51107,-0.65631,-0.68809,-1.0649,-1.5289,1.3613
-0.70033,-1.8363,-1.403,-0.83787,1.8408,0.24038
0.69553,-0.18421,-0.018541,-1.8342,0.40892,0.77095
-0.57832,-1.8995,-1.356,-2.0553,-2.7019,0.52345
-0.81613,-0.46943,-2.0749,-1.7418,-0.91855,1.9829
-1.3883,-1.2121,-2.1437,-0.61415,-2.3245,1.6881
-0.43623,0.9445,-1.6596,-1.0716,-2.8456,1.4129
0.14804,-0.82675,-1.3419,0.33121,-0.87922,3.067
-2.1378,-0.33598,1.4131,-0.18922,-1.0273,1.2
-1.3719,-0.97904,-1.7367,-2.3032,-1.0752,0.23149
-2.0205,-1.4595,-2.2312,-0.96095,1.2557,2.3894
-0.82918,-0.33574,-3.4988,-1.871,1.8737,-0.37844
-2.5866,-0.90459,-0.79553,0.97456,0.35234,0.44916
-1.5545,-1.0245,-0.68182,0.66941,-0.45722,2.1199
1.3234,-2.3275,-1.2504,-2.0864,0.14783,-0.89694
0.69477,-1.5579,0.28803,1.61,1.8806,1.4715
-3.0292,0.2965,-1.2112,0.069694,0.021331,4.1325
0.14575,-1.4739,2.3621,-0.2959,0.62986,2.2267
-0.21317,0.16752,-1.5394,0.93477,0.69622,0.63352
-2.1636,-1.1243,1.421,-3.0087,0.77684,3.6152
-0.55271,-3.023,-0.49758,-0.21698,0.68669,-0.33957
-0.81973,-0.50433,-2.9752,-1.0119,1.7702,2.7067
0.81555,-0.96806,-1.5342,-3.0038,-1.0082,0.74973
-0.055718,-3.4576,-0.78447,-1.0768,0.81369,1.6274
-1.0173,-0.1274,0.74483,-1.9043,-0.92653,1.938
-0.71872,-0.89355,-1.4359,-1.1091,-0.23963,-0.4642
-2.3605,-1.2257,-1.0936,1.0615,0.97303,1.1582
-2.5439,-1.0178,-0.23384,-0.68191,0.42382,-0.43525
-0.27867,-1.4301,-1.0143,-0.20473,0.23833,0.10043
-0.78822,-1.2324,-2.6989,-0.61326,1.2408,0.49722
-1.2268,-0.26736,-0.35545,-0.29086,,1.6306
-0.23236,-2.0037,-2.275,-0.18369,,1.6223
,-0.61342,-1.7943,-3.1604,,
,-2.3417,-2.4208,,,
,-0.40879,-1.2182,,,
,0.39146,-1.835,,,
,-0.082949,-2.4153,,,
,-0.77971,-1.395,,,
,,-0.73422,,,
,,-1.6428,,,
