family,concept,index,clause,marked_decisive,drafter_note,R1_true,R1_names,R1_decisive,R1_comment,R2_true,R2_names,R2_decisive,R2_comment,resolution
animals,animals/frog,8,has bulging eyes on the top of its head,,,,,,,,,,,
animals,animals/frog,9,has brightly coloured tropical kinds with poisonous skin,yes,,,,,,,,,,
animals,animals/frog,10,can spend winter dormant in the mud of pond bottoms,,"""can spend winter dormant in the mud of pond bottoms"": true of some kinds (e.g. leopard and green frogs, which mostly rest on the bottom rather than burrow deep); others overwinter on land",,,,,,,,,
animals,animals/frog,11,is often green or brown to blend in with plants,,,,,,,,,,,
animals,animals/lion,0,lives in groups where related females do most of the hunting,yes,,,,,,,,,,
animals,animals/lion,1,"has males that grow a thick, shaggy mane",yes,,,,,,,,,,
animals,animals/lion,2,has a tawny coat that blends with dry grass,,,,,,,,,,,
animals,animals/lion,3,roars loudly enough to be heard kilometres away,,,,,,,,,,,
animals,animals/lion,4,lives mainly on open grasslands in Africa,,,,,,,,,,,
animals,animals/lion,5,spends most of the day resting in the shade,,,,,,,,,,,
animals,animals/lion,6,often fights hyenas over the carcasses of large prey,,,,,,,,,,,
animals,animals/lion,7,"hunts zebra, wildebeest and buffalo",,,,,,,,,,,
animals,animals/lion,8,"has large paws and a heavy, muscular build",,,,,,,,,,,
animals,animals/lion,9,is a large predator kept in many zoos and safari parks,,,,,,,,,,,
animals,animals/lion,10,has cubs that are born with faint spots,,,,,,,,,,,
animals,animals/lion,11,"is a big predator with a plain, unpatterned coat",,,,,,,,,,,
animals,animals/mouse,0,is a small rodent with a long thin tail,yes,,,,,,,,,,
animals,animals/mouse,1,nibbles through packaging in pantries and cupboards,,,,,,,,,,,
animals,animals/mouse,2,squeaks and scurries along walls at night,,,,,,,,,,,
animals,animals/mouse,3,is kept as a small pet in cages by children,,,,,,,,,,,
animals,animals/mouse,4,can squeeze through surprisingly small gaps under doors,,,,,,,,,,,
animals,animals/mouse,5,"breeds quickly, producing many litters each year",,,,,,,,,,,
animals,animals/mouse,6,is caught in spring-loaded snap traps in homes,yes,,,,,,,,,,
animals,animals/mouse,7,"is hunted by owls, hawks and weasels",,,,,,,,,,,
animals,animals/mouse,8,"has large ears, dark beady eyes and a pointed snout",,,,,,,,,,,
animals,animals/mouse,9,has gnawing front teeth that never stop growing,,,,,,,,,,,
animals,animals/mouse,10,"lives in fields, barns and the walls of houses",,,,,,,,,,,
animals,animals/mouse,11,"eats seeds and grains, sometimes storing them in its nest",,"""eats seeds and grains, sometimes storing them in its nest"": food caching is well known in field and deer mice; house mice cache less",,,,,,,,,
animals,animals/rabbit,0,has long ears and a short fluffy tail,yes,,,,,,,,,,
animals,animals/rabbit,1,lives in large networks of connected underground burrows,,,,,,,,,,,
animals,animals/rabbit,2,sits upright on its haunches to watch for danger,,,,,,,,,,,
animals,animals/rabbit,3,"gives birth to blind, hairless young in a sheltered nest",,"""gives birth to blind, hairless young in a sheltered nest"": true of the European rabbit and cottontails; hares, a close relative, bear furred, open-eyed young",,,,,,,,,
animals,animals/rabbit,4,"has soft, dense fur that is used in hats and garments",,,,,,,,,,,
animals,animals/rabbit,5,raids vegetable gardens and nibbles young plants,,,,,,,,,,,
animals,animals/rabbit,6,is often kept as a pet in a cage or pen outdoors,,,,,,,,,,,
animals,animals/rabbit,7,"feeds mostly on grass, clover and other leafy plants",,,,,,,,,,,
animals,animals/rabbit,8,prefers grassy meadows with bushes nearby for cover,,,,,,,,,,,
animals,animals/rabbit,9,"freezes, then zigzags away when it is chased",,,,,,,,,,,
animals,animals/rabbit,10,can see almost all the way around without turning its head,,,,,,,,,,,
animals,animals/rabbit,11,"is hunted by hawks, stoats and people with dogs",,,,,,,,,,,
animals,animals/sheep,0,has a thick coat that farmers clip and spin into yarn,yes,,,,,,,,,,
animals,animals/sheep,1,lives in flocks that stay close together when threatened,,,,,,,,,,,
animals,animals/sheep,2,bleats loudly when separated from the rest of its flock,,,,,,,,,,,
animals,animals/sheep,3,"often gives birth to twins, usually in early spring",,,,,,,,,,,
animals,animals/sheep,4,is a timid grazer that flees from dogs and people,,,,,,,,,,,
animals,animals/sheep,5,has males with heavy curled horns in some breeds,yes,,,,,,,,,,
animals,animals/sheep,6,"provides meat, milk and fibre on farms worldwide",,,,,,,,,,,
animals,animals/sheep,7,has wide rectangular pupils that give a broad view,,,,,,,,,,,
animals,animals/sheep,8,crops grass very close to the ground with its narrow mouth,,,,,,,,,,,
animals,animals/sheep,9,is often marked with coloured dye to show its owner,,,,,,,,,,,
animals,animals/sheep,10,grazes on rough hillsides and upland moors,,,,,,,,,,,
animals,animals/sheep,11,huddles with others behind walls and hedges in bad weather,,,,,,,,,,,
animals,animals/snake,0,moves by bending its long body from side to side,,,,,,,,,,,
animals,animals/snake,1,sheds its outer layer of skin several times as it grows,,"""sheds its outer layer of skin several times as it grows"": frequency varies by age and species, but several sheds a year is typical",,,,,,,,,
animals,animals/snake,2,flicks a forked mouthpart in and out to smell the air,yes,,,,,,,,,,
animals,animals/snake,3,usually swallows its prey whole without chewing it first,,,,,,,,,,,
animals,animals/snake,4,can be venomous and deadly to people who disturb it,,,,,,,,,,,
animals,animals/snake,5,"is covered all over in dry, overlapping scales",,,,,,,,,,,
animals,animals/snake,6,has no eyelids and so cannot close its eyes,,,,,,,,,,,
animals,animals/snake,7,can coil around its prey and squeeze it to death,yes,,,,,,,,,,
animals,animals/snake,8,"may hatch from a shell or be born live, depending on species",,,,,,,,,,,
animals,animals/snake,9,is cold-blooded and basks in the sun to warm up,,,,,,,,,,,
animals,animals/snake,10,hisses loudly when it is threatened or cornered,,,,,,,,,,,
animals,animals/snake,11,hunts rodents in fields and around barns,,,,,,,,,,,
animals,animals/tiger,0,has a coat marked with bold dark vertical stripes,yes,,,,,,,,,,
animals,animals/tiger,1,is one of the largest wild felines,,,,,,,,,,,
animals,animals/tiger,2,lives in forests and grasslands across parts of Asia,,,,,,,,,,,
animals,animals/tiger,3,is a strong swimmer that often cools off in water,yes,,,,,,,,,,
animals,animals/tiger,4,"is endangered, with far fewer left in the wild than a century ago",,,,,,,,,,,
animals,animals/tiger,5,"hunts alone, stalking prey before a sudden charge",,,,,,,,,,,
animals,animals/tiger,6,has rust-coloured fur with a white belly,,,,,,,,,,,
animals,animals/tiger,7,has powerful jaws and long canine teeth for killing large prey,,,,,,,,,,,
animals,animals/tiger,8,marks its territory with scent and scratches on trees,,,,,,,,,,,
animals,animals/tiger,9,"has a deep roar and a heavy, muscular body",,,,,,,,,,,
animals,animals/tiger,10,is poached for its skin and for traditional medicine,,,,,,,,,,,
animals,animals/tiger,11,can kill prey as large as wild cattle,,,,,,,,,,,
animals,animals/wolf,0,lives and hunts in packs led by a breeding pair,yes,,,,,,,,,,
animals,animals/wolf,1,howls to keep in touch with distant members of its group,yes,,,,,,,,,,
animals,animals/wolf,2,is a close wild relative of the domestic dog,,,,,,,,,,,
animals,animals/wolf,3,has been feared and persecuted by people for centuries,,,,,,,,,,,
animals,animals/wolf,4,has thick grey fur and a bushy tail,,,,,,,,,,,
animals,animals/wolf,5,"roams huge territories in forests, tundra and mountains",,,,,,,,,,,
animals,animals/wolf,6,was wiped out across much of its former range,,,,,,,,,,,
animals,animals/wolf,7,brings down large prey such as elk and moose,,,,,,,,,,,
animals,animals/wolf,8,has pups that are born blind in a den in spring,,,,,,,,,,,
animals,animals/wolf,9,is blamed by ranchers for killing their livestock,,,,,,,,,,,
animals,animals/wolf,10,can trot for many kilometres a day while tracking prey,,,,,,,,,,,
animals,animals/wolf,11,has yellow or amber eyes that stand out against its fur,,"""has yellow or amber eyes that stand out against its fur"": typical of adult wolves; eye colour varies somewhat",,,,,,,,,
countries,countries/Austria,0,is a landlocked state in the middle of central Europe,,,,,,,,,,,
countries,countries/Austria,1,has a mountainous west and south with high alpine peaks and glaciers,,,,,,,,,,,
countries,countries/Austria,2,has a major river flowing east through its northern lowlands,,,,,,,,,,,
countries,countries/Austria,3,led a multi-ethnic empire that fell apart after a world war,,,,,,,,,,,
countries,countries/Austria,4,is constitutionally neutral and stays outside military alliances,,"""is constitutionally neutral and stays outside military alliances"" - neutral by constitutional law and not in NATO, but EU membership carries a mutual-assistance clause; a reader may see that as alliance-like",,,,,,,,,
countries,countries/Austria,5,is famous for its classical music heritage and grand opera houses,,,,,,,,,,,
countries,countries/Austria,6,has popular ski resorts in its high alpine valleys,,,,,,,,,,,
countries,countries/Austria,7,"has a cuisine of hearty dumplings, roasted meats and rich pastries",,,,,,,,,,,
countries,countries/Austria,8,has a long tradition of elegant coffee houses and pastry shops,yes,,,,,,,,,,
countries,countries/Austria,9,joined the European Union in the mid-1990s,,,,,,,,,,,
countries,countries/Austria,10,shares land borders with eight neighbouring states in total,yes,,,,,,,,,,
countries,countries/Austria,11,was occupied by victorious wartime allies for years after 1945,,,,,,,,,,,
countries,countries/Brazil,0,ranks among the five largest states in the world by area,,,,,,,,,,,
countries,countries/Brazil,1,has vast tropical rainforests with extraordinary biodiversity,,,,,,,,,,,
countries,countries/Brazil,2,"has a population descended from indigenous, European and African ancestors",,,,,,,,,,,
countries,countries/Brazil,3,is passionate about football and exports many star players abroad,,,,,,,,,,,
countries,countries/Brazil,4,"is an agricultural powerhouse exporting grain, beef and sugar",,,,,,,,,,,
countries,countries/Brazil,5,has a long Atlantic coastline lined with famous beaches,,,,,,,,,,,
countries,countries/Brazil,6,moved its capital inland to a purpose-built planned city,,,,,,,,,,,
countries,countries/Brazil,7,was ruled by its own emperors for much of the nineteenth century,yes,,,,,,,,,,
countries,countries/Brazil,8,was colonised by a small seafaring Iberian kingdom,,,,,,,,,,,
countries,countries/Brazil,9,has huge hydroelectric dams on its major rivers,,,,,,,,,,,
countries,countries/Brazil,10,"has a cuisine of black beans, rice, cassava and grilled meat",,,,,,,,,,,
countries,countries/Brazil,11,lies mostly in the southern hemisphere and spans several time zones,,,,,,,,,,,
countries,countries/Canada,0,has a very long coastline with many deep inlets and islands,,,,,,,,,,,
countries,countries/Canada,1,has most of its people living within a few hours of its southern border,yes,,,,,,,,,,
countries,countries/Canada,2,is a federation of provinces with strong regional governments,,,,,,,,,,,
countries,countries/Canada,3,"exports large amounts of timber, pulp and wheat",,,,,,,,,,,
countries,countries/Canada,4,is a Commonwealth realm whose monarch lives overseas,,,,,,,,,,,
countries,countries/Canada,5,has vast boreal forests and many thousands of lakes,,,,,,,,,,,
countries,countries/Canada,6,"has long, severe winters across most of its territory",,,,,,,,,,,
countries,countries/Canada,7,has a large Arctic archipelago of sparsely populated islands,,,,,,,,,,,
countries,countries/Canada,8,gained full independence gradually and peacefully from a European empire,,,,,,,,,,,
countries,countries/Canada,9,has indigenous peoples who hunt and fish in the far north,,,,,,,,,,,
countries,countries/Canada,10,"has high, rugged mountain ranges along its western Pacific coast",,,,,,,,,,,
countries,countries/Canada,11,extracts heavy crude oil from vast deposits of tar-like sands,yes,,,,,,,,,,
countries,countries/Denmark,0,is made up of a peninsula and several hundred islands,yes,,,,,,,,,,
countries,countries/Denmark,1,"is low and flat, with no hill above 200 metres",,,,,,,,,,,
countries,countries/Denmark,2,has self-governing island territories far from its mainland,,,,,,,,,,,
countries,countries/Denmark,3,was a base for seafaring raiders in the early Middle Ages,,,,,,,,,,,
countries,countries/Denmark,4,shares its only mainland border with a larger southern neighbour,,"""shares its only mainland border with a larger southern neighbour"" - worded 'mainland' because since 2022 the realm also has a short land border on a small Arctic island with a North American state",,,,,,,,,
countries,countries/Denmark,5,is famous for its cycling culture and wide urban bike lanes,,,,,,,,,,,
countries,countries/Denmark,6,is a world leader in wind power and wind turbine manufacturing,,,,,,,,,,,
countries,countries/Denmark,7,relies on long bridges linking its main islands,,,,,,,,,,,
countries,countries/Denmark,8,"has a cuisine of rye bread, pickled herring and pork",,,,,,,,,,,
countries,countries/Denmark,9,lies at the narrow entrance to a large inland sea,,,,,,,,,,,
countries,countries/Denmark,10,is a constitutional monarchy with one of Europe's oldest royal lines,yes,,,,,,,,,,
countries,countries/Denmark,11,has a generous welfare state funded by high taxes,,,,,,,,,,,
countries,countries/Germany,0,has the largest economy of any state in Europe,yes,"""has the largest economy of any state in Europe"" - true by nominal GDP for decades; a ranking that could in principle change",,,,,,,,,
countries,countries/Germany,1,was divided into rival states during the Cold War,,,,,,,,,,,
countries,countries/Germany,2,has a strong tradition of brewing with many small breweries,,,,,,,,,,,
countries,countries/Germany,3,has many large cities rather than one dominant metropolis,,,,,,,,,,,
countries,countries/Germany,4,is a federal republic whose regional states have strong powers,,,,,,,,,,,
countries,countries/Germany,5,has major rivers flowing north into a busy shallow sea,,,,,,,,,,,
countries,countries/Germany,6,"is a major exporter of cars, machinery and chemicals",,,,,,,,,,,
countries,countries/Germany,7,has a long history of division between Protestant and Catholic regions,,,,,,,,,,,
countries,countries/Germany,8,has thickly forested low mountain ranges in its centre and south,,,,,,,,,,,
countries,countries/Germany,9,has a capital that was once split between rival states,yes,"""has a capital that was once split between rival states"" - the eastern half was the eastern state's capital, while the western half was not formally the western state's capital",,,,,,,,,
countries,countries/Germany,10,"has a cuisine of sausages, dark bread and pickled cabbage",,,,,,,,,,,
countries,countries/Germany,11,has many medieval castles perched above its winding river valleys,,,,,,,,,,,
countries,countries/Greece,0,"has many sunny islands in warm, clear seas",,,,,,,,,,,
countries,countries/Greece,1,has a long classical heritage that shaped Western art and science,yes,,,,,,,,,,
countries,countries/Greece,2,"has a rugged, mountainous mainland with little flat farmland",,,,,,,,,,,
countries,countries/Greece,3,lies in southeastern Europe on the Mediterranean Sea,,,,,,,,,,,
countries,countries/Greece,4,"is known for olive oil, yogurt and grilled lamb",,,,,,,,,,,
countries,countries/Greece,5,has a long seafaring tradition and a big merchant fleet,,,,,,,,,,,
countries,countries/Greece,6,went through years of harsh austerity after a debt crisis,,,,,,,,,,,
countries,countries/Greece,7,"is full of ancient temples, open-air theatres and ruins",,,,,,,,,,,
countries,countries/Greece,8,won independence from Ottoman rule in the nineteenth century,,,,,,,,,,,
countries,countries/Greece,9,has a population that is mostly Orthodox Christian,,,,,,,,,,,
countries,countries/Greece,10,sits in an earthquake-prone zone and has some volcanic islands,,,,,,,,,,,
countries,countries/Greece,11,"uses its own ancient alphabet, ancestor of many later scripts",yes,,,,,,,,,,
countries,countries/Iceland,0,is a volcanic island lying just below the Arctic Circle,yes,,,,,,,,,,
countries,countries/Iceland,1,"has a largely treeless landscape of moss, heath and tundra",,,,,,,,,,,
countries,countries/Iceland,2,gets almost all its electricity from hydropower and geothermal plants,,,,,,,,,,,
countries,countries/Iceland,3,"has many geysers, hot springs and active volcanoes",,,,,,,,,,,
countries,countries/Iceland,4,"has a long democratic tradition and a small, highly educated population",,,,,,,,,,,
countries,countries/Iceland,5,has no standing army and relies on allies for defence,,,,,,,,,,,
countries,countries/Iceland,6,was uninhabited until seafaring settlers arrived in the Middle Ages,,"""was uninhabited until seafaring settlers arrived in the Middle Ages"" - a few hermit monks may have been present shortly before the main ninth-century settlement; both fall in the Middle Ages",,,,,,,,,
countries,countries/Iceland,7,has mild winters for its latitude thanks to a warm ocean current,,,,,,,,,,,
countries,countries/Iceland,8,has large ice caps and glaciers feeding powerful rivers,,,,,,,,,,,
countries,countries/Iceland,9,suffered a severe banking crisis during the global financial crash,,,,,,,,,,,
countries,countries/Iceland,10,has long summer days and very short winter days,,,,,,,,,,,
countries,countries/Iceland,11,"has an economy built largely on fishing, tourism and aluminium smelting",yes,,,,,,,,,,
countries,countries/Iraq,0,depends on large rivers for irrigation in an arid climate,,,,,,,,,,,
countries,countries/Iraq,1,was home to some of the world's earliest cities and farming,,,,,,,,,,,
countries,countries/Iraq,2,holds some of the largest proven oil reserves in the world,,,,,,,,,,,
countries,countries/Iraq,3,has only a very short coastline at the head of a gulf,yes,,,,,,,,,,
countries,countries/Iraq,4,"has a mostly desert landscape with scorching, dry summers",,,,,,,,,,,
countries,countries/Iraq,5,has fertile river plains in the south and mountains in the north,,,,,,,,,,,
countries,countries/Iraq,6,has a large ethnic minority with its own autonomous region in the north,,,,,,,,,,,
countries,countries/Iraq,7,was part of the Ottoman Empire until the First World War,,,,,,,,,,,
countries,countries/Iraq,8,"has suffered decades of war, sanctions and insurgency",,,,,,,,,,,
countries,countries/Iraq,9,has a population in which Shia Muslims form the majority,,,,,,,,,,,
countries,countries/Iraq,10,has long been among the world's leading growers of date palms,,"""has long been among the world's leading growers of date palms"" - historically the top producer; its current rank among producers is lower and varies year to year",,,,,,,,,
countries,countries/Iraq,11,became a kingdom under a foreign mandate after the First World War,,,,,,,,,,,
countries,countries/Jamaica,0,is a large island lying south of an even larger island neighbour,yes,,,,,,,,,,
countries,countries/Jamaica,1,has an island music culture whose sounds became famous worldwide,,,,,,,,,,,
countries,countries/Jamaica,2,"has a spicy cuisine blending African, European and Asian influences",,,,,,,,,,,
countries,countries/Jamaica,3,"loves cricket, a legacy of its former colonial rulers",,,,,,,,,,,
countries,countries/Jamaica,4,"grows sugar cane, coffee and spices for export",,,,,,,,,,,
countries,countries/Jamaica,5,was seized from one European colonial power by another,,,,,,,,,,,
countries,countries/Jamaica,6,became independent in 1962 after centuries of colonial rule,,,,,,,,,,,
countries,countries/Jamaica,7,has long been a major producer of bauxite and alumina,,"""has long been a major producer of bauxite and alumina"" - historically among the largest producers; its current world rank is lower (roughly top ten)",,,,,,,,,
countries,countries/Jamaica,8,is known for dark rum and fiery hot peppers,,,,,,,,,,,
countries,countries/Jamaica,9,is one of the larger islands of the Greater Antilles,,,,,,,,,,,
countries,countries/Jamaica,10,had a sugar economy based on plantations worked by enslaved Africans,,,,,,,,,,,
countries,countries/Jamaica,11,has an economy relying heavily on tourism and money sent from abroad,,,,,,,,,,,
countries,countries/Japan,0,is an archipelago stretching along the western rim of the Pacific,,,,,,,,,,,
countries,countries/Japan,1,has many active volcanoes and popular hot spring resorts,,,,,,,,,,,
countries,countries/Japan,2,has an extensive high-speed rail network linking major cities,,,,,,,,,,,
countries,countries/Japan,3,"is a leading exporter of cars, electronics and industrial robots",,,,,,,,,,,
countries,countries/Japan,4,experiences frequent earthquakes and occasional destructive tsunamis,,,,,,,,,,,
countries,countries/Japan,5,blends worship of ancestral spirits with Buddhist temple traditions,,,,,,,,,,,
countries,countries/Japan,6,"has four distinct seasons and a humid, rainy summer",,,,,,,,,,,
countries,countries/Japan,7,is passionate about baseball as a leading spectator sport,,,,,,,,,,,
countries,countries/Japan,8,has one of the world's longest life expectancies and oldest populations,,,,,,,,,,,
countries,countries/Japan,9,long restricted contact with foreign traders and missionaries,,,,,,,,,,,
countries,countries/Japan,10,"has a cuisine built around rice, seafood, noodles and fermented soy",,,,,,,,,,,
countries,countries/Japan,11,has a monarch who holds the title of emperor,yes,,,,,,,,,,
