subject,task,n_trials_table,n_epochs,n_dropped_edge,dropped_trials,drop_reasons,recording_s,match,n_chan,n_times,fsample,status_n_status,status_n_tsv,status_n_tsv_unmatched,status_n_code_mismatch,status_max_sample_diff,status_n_status_extra,status_status_extra_codes,status_n_128_status,status_n_bdf_channels,status_raw_sfreq,status_max_snap_samples,status_n_unsnapped
6,noninformative,400,400,0,,,1655.0,True,128,769,512.0,2063,2062,0,0,5,1,84,805,144,1024.0,5,0
7,informative,400,400,0,,,1482.0,True,128,769,512.0,2050,2050,0,0,5,0,,805,144,1024.0,5,0
7,nocue,400,400,0,,,1327.0,True,128,769,512.0,1261,1261,0,0,5,0,,405,144,1024.0,5,0
7,noninformative,400,400,0,,,1695.0,True,128,769,512.0,2057,2057,0,0,5,0,,805,144,1024.0,5,0
8,informative,400,400,0,,,1972.0,True,128,769,512.0,2055,2055,0,0,5,0,,805,144,1024.0,5,0
8,nocue,400,400,0,,,1299.0,True,128,769,512.0,1252,1252,0,0,5,0,,405,144,1024.0,5,0
8,noninformative,400,400,0,,,1699.0,True,128,769,512.0,2067,2066,0,0,5,1,20,805,144,1024.0,5,0
9,informative,400,400,0,,,1597.0,True,128,769,512.0,2059,2057,0,0,5,2,84;16,805,144,1024.0,5,0
9,nocue,400,400,0,,,1433.0,True,128,769,512.0,1255,1255,0,0,5,0,,405,144,1024.0,5,0
9,noninformative,400,400,0,,,1705.0,True,128,769,512.0,2069,2067,0,0,5,2,66;64,805,144,1024.0,5,0
10,informative,400,400,0,,,1666.0,True,128,769,512.0,2053,2051,0,0,5,2,84;20,801,144,1024.0,5,0
10,nocue,400,400,0,,,1162.0,True,128,769,512.0,1255,1255,0,0,5,0,,401,144,1024.0,5,0
10,noninformative,400,400,0,,,1555.0,True,128,769,512.0,2052,2052,0,0,5,0,,801,144,1024.0,5,0
11,informative,400,400,0,,,1430.0,True,128,769,512.0,2057,2057,0,0,5,0,,806,272,1024.0,5,0
11,nocue,400,400,0,,,1137.0,True,128,769,512.0,1254,1254,0,0,5,0,,405,144,1024.0,5,0
11,noninformative,400,400,0,,,1448.0,True,128,769,512.0,2056,2056,0,0,5,0,,805,144,1024.0,5,0
12,informative,400,400,0,,,1437.0,True,128,769,512.0,2046,2045,0,0,5,1,16,801,144,1024.0,5,0
12,nocue,400,400,0,,,1055.0,True,128,769,512.0,1255,1255,0,0,5,0,,401,144,1024.0,5,0
12,noninformative,400,400,0,,,1517.0,True,128,769,512.0,2059,2059,0,0,5,0,,801,144,1024.0,5,0
13,informative,398,398,0,,,1576.0,True,128,769,512.0,2043,2043,0,0,5,0,,800,144,1024.0,5,0
13,nocue,400,400,0,,,1291.0,True,128,769,512.0,1258,1258,0,0,5,0,,405,144,1024.0,5,0
13,noninformative,400,400,0,,,1697.0,True,128,769,512.0,2066,2066,0,0,5,0,,805,144,1024.0,5,0
14,informative,400,400,0,,,1580.0,True,128,769,512.0,2056,2055,0,0,5,1,84,805,144,1024.0,5,0
14,nocue,400,400,0,,,1102.0,True,128,769,512.0,1257,1257,0,0,5,0,,405,144,1024.0,5,0
14,noninformative,400,400,0,,,1449.0,True,128,769,512.0,2060,2060,0,0,5,0,,805,144,1024.0,5,0
15,informative,400,400,0,,,1417.0,True,128,769,512.0,2049,2049,0,0,5,0,,805,144,1024.0,5,0
15,nocue,400,400,0,,,1263.0,True,128,769,512.0,1253,1253,0,0,5,0,,407,144,1024.0,5,0
15,noninformative,400,400,0,,,1376.0,True,128,769,512.0,2075,2075,0,0,5,0,,805,144,1024.0,5,0
16,informative,400,400,0,,,1444.0,True,128,769,512.0,2049,2048,0,0,5,1,16,805,144,1024.0,5,0
16,nocue,400,400,0,,,1049.0,True,128,769,512.0,1255,1255,0,0,5,0,,405,144,1024.0,5,0
16,noninformative,400,400,0,,,1406.0,True,128,769,512.0,2058,2058,0,1,5,1,101,805,144,1024.0,5,0
17,informative,400,400,0,,,1500.0,True,128,769,512.0,2053,2053,0,0,5,0,,805,144,1024.0,5,0
17,nocue,400,400,0,,,1149.0,True,128,769,512.0,1259,1259,0,0,5,0,,405,144,1024.0,5,0
17,noninformative,400,400,0,,,1465.0,True,128,769,512.0,2056,2056,0,0,5,0,,805,144,1024.0,5,0
18,informative,400,400,0,,,1536.0,True,128,769,512.0,2052,2052,0,0,5,0,,805,144,1024.0,5,0
18,nocue,400,400,0,,,1160.0,True,128,769,512.0,1249,1249,0,0,5,0,,405,144,1024.0,5,0
18,noninformative,400,400,0,,,1661.0,True,128,769,512.0,2062,2062,0,0,5,0,,805,144,1024.0,5,0
19,informative,400,400,0,,,1452.0,True,128,769,512.0,2062,2062,0,0,5,0,,805,144,1024.0,5,0
19,nocue,397,397,0,,,1107.0,True,128,769,512.0,1237,1237,0,0,5,0,,401,144,1024.0,5,0
19,noninformative,400,400,0,,,1610.0,True,128,769,512.0,2059,2059,0,0,5,0,,805,144,1024.0,5,0
20,informative,400,400,0,,,1380.0,True,128,769,512.0,2052,2052,0,0,5,0,,805,144,1024.0,5,0
20,nocue,400,400,0,,,1066.0,True,128,769,512.0,1258,1258,0,0,5,0,,405,144,1024.0,5,0
20,noninformative,400,399,1,1,NO_DATA,1351.0,False,128,769,512.0,2057,2056,0,0,5,1,66,803,144,1024.0,5,0
21,informative,399,399,0,,,1359.0,True,128,769,512.0,2045,2045,0,0,5,0,,802,144,1024.0,5,0
21,nocue,400,400,0,,,1070.0,True,128,769,512.0,1258,1258,0,0,5,0,,405,144,1024.0,5,0
21,noninformative,398,398,0,,,1408.0,True,128,769,512.0,2059,2059,0,0,5,0,,800,144,1024.0,5,0
22,informative,400,400,0,,,1513.0,True,128,769,512.0,2055,2055,0,0,5,0,,805,144,1024.0,5,0
22,nocue,400,400,0,,,1079.0,True,128,769,512.0,1260,1260,0,0,5,0,,405,144,1024.0,5,0
22,noninformative,400,400,0,,,1437.0,True,128,769,512.0,2047,2047,0,0,5,0,,805,144,1024.0,5,0
23,informative,399,398,1,1,NO_DATA,1473.0,False,128,769,512.0,2049,2049,0,0,5,0,,801,144,1024.0,5,0
23,nocue,400,400,0,,,1190.0,True,128,769,512.0,1263,1262,0,0,5,1,6,407,144,1024.0,5,0
23,noninformative,400,400,0,,,1446.0,True,128,769,512.0,2060,2060,0,0,5,0,,805,144,1024.0,5,0
24,informative,400,400,0,,,1519.0,True,128,769,512.0,2051,2051,0,0,5,0,,805,144,1024.0,5,0
24,nocue,400,400,0,,,1065.0,True,128,769,512.0,1259,1258,0,0,5,1,20,405,144,1024.0,5,0
24,noninformative,400,400,0,,,1518.0,True,128,769,512.0,2059,2059,0,0,5,0,,805,144,1024.0,5,0
25,informative,400,400,0,,,1386.0,True,128,769,512.0,2054,2054,0,0,5,0,,805,144,1024.0,5,0
25,nocue,400,400,0,,,1085.0,True,128,769,512.0,1264,1263,0,0,5,1,84,405,144,1024.0,5,0
25,noninformative,400,400,0,,,1452.0,True,128,769,512.0,2061,2061,0,0,5,0,,805,144,1024.0,5,0
26,informative,399,399,0,,,1511.0,True,128,769,512.0,2039,2039,0,0,5,0,,802,144,1024.0,5,0
26,nocue,400,400,0,,,1136.0,True,128,769,512.0,1254,1253,0,0,5,1,84,405,144,1024.0,5,0
26,noninformative,400,400,0,,,1431.0,True,128,769,512.0,2069,2068,0,0,5,1,64,805,144,1024.0,5,0
27,informative,400,400,0,,,1652.0,True,128,769,512.0,2005,2004,0,0,5,1,16,805,144,1024.0,5,0
27,nocue,400,400,0,,,1159.0,True,128,769,512.0,1252,1252,0,0,5,0,,405,144,1024.0,5,0
27,noninformative,400,400,0,,,1407.0,True,128,769,512.0,2059,2059,0,0,5,0,,805,144,1024.0,5,0
28,informative,400,400,0,,,1427.0,True,128,769,512.0,2048,2048,0,0,5,0,,805,144,1024.0,5,0
28,nocue,400,400,0,,,1009.0,True,128,769,512.0,1249,1249,0,0,5,0,,405,144,1024.0,2,0
28,noninformative,400,400,0,,,1414.0,True,128,769,512.0,2061,2061,0,0,5,0,,805,144,1024.0,5,0
29,informative,400,400,0,,,1418.0,True,128,769,512.0,2055,2055,0,0,5,0,,805,144,1024.0,5,0
29,nocue,400,400,0,,,1028.0,True,128,769,512.0,1253,1253,0,0,4,0,,405,144,1024.0,1,0
29,noninformative,400,400,0,,,1367.0,True,128,769,512.0,2064,2064,0,0,5,0,,805,144,1024.0,5,0
30,informative,400,400,0,,,1505.0,True,128,769,512.0,2053,2053,0,0,5,0,,805,144,1024.0,5,0
30,nocue,400,400,0,,,1020.0,True,128,769,512.0,1256,1256,0,0,4,0,,405,144,1024.0,3,0
30,noninformative,400,400,0,,,1437.0,True,128,769,512.0,2059,2058,0,0,5,1,84,805,144,1024.0,5,0
31,informative,400,400,0,,,1530.0,True,128,769,512.0,2048,2048,0,0,5,0,,804,144,1024.0,5,0
31,nocue,400,400,0,,,1215.0,True,128,769,512.0,1261,1261,0,0,5,0,,404,144,1024.0,5,0
31,noninformative,400,400,0,,,1703.0,True,128,769,512.0,2063,2062,0,0,5,1,71,805,144,1024.0,5,0
32,informative,400,400,0,,,2340.0,True,128,769,512.0,2029,2029,0,0,5,0,,805,144,1024.0,5,0
32,nocue,400,400,0,,,1435.0,True,128,769,512.0,1262,1262,0,0,5,0,,405,144,1024.0,5,0
32,noninformative,395,395,0,,,1920.0,True,128,769,512.0,2037,2036,0,0,5,1,84,794,144,1024.0,5,0
33,informative,400,400,0,,,1489.0,True,128,769,512.0,2048,2047,0,0,5,1,93,805,144,1024.0,5,0
33,nocue,400,400,0,,,1289.0,True,128,769,512.0,1260,1260,0,0,5,0,,405,144,1024.0,5,0
33,noninformative,400,400,0,,,1474.0,True,128,769,512.0,2073,2073,0,0,5,0,,805,144,1024.0,5,0
34,informative,400,400,0,,,1468.0,True,128,769,512.0,2052,2052,0,0,5,0,,805,144,1024.0,5,0
34,nocue,400,400,0,,,1142.0,True,128,769,512.0,1257,1257,0,0,5,0,,405,144,1024.0,5,0
34,noninformative,400,400,0,,,1778.0,True,128,769,512.0,2068,2068,0,0,5,0,,805,144,1024.0,5,0
35,informative,398,398,0,,,1498.0,True,128,769,512.0,2042,2041,0,0,10,1,16,800,144,2048.0,10,0
35,noninformative,400,400,0,,,1382.0,True,128,769,512.0,2056,2055,0,0,10,1,18,805,144,2048.0,10,0
36,informative,400,400,0,,,1468.0,True,128,769,512.0,2062,2062,0,0,10,0,,804,144,2048.0,10,0
36,nocue,400,400,0,,,1291.0,True,128,769,512.0,1258,1258,0,0,10,0,,404,144,2048.0,10,0
