window row keys: ['bor', 'cohort', 'eligible', 'exp_r', 'n', 'position', 'pxp', 'window']
G1 weak d0 r0      inconclusive/mixed  pxp med n/g/t [0.738, 0.037, 0.167] max [1.0, 0.168, 0.299] argmax [10, 0, 0] run095 {'null': 2, 'graded': 0, 'twostate': 0} Delta mean +0.65797 [+0.21452, +1.20444]
G1 strong d1 r2    inconclusive/mixed  pxp med n/g/t [0.065, 0.13, 0.783] max [0.287, 0.32, 0.995] argmax [0, 0, 10] run095 {'null': 0, 'graded': 0, 'twostate': 2} Delta mean +0.34646 [+0.02190, +1.63578]
G2 weak d0 r0      inconclusive/mixed  pxp med n/g/t [0.99, 0.004, 0.006] max [1.0, 0.238, 0.396] argmax [9, 0, 1] run095 {'null': 3, 'graded': 0, 'twostate': 0} Delta mean +0.70296 [+0.06572, +1.13606]
G2 weak d0 r1      inconclusive/mixed  pxp med n/g/t [0.988, 0.001, 0.01] max [1.0, 0.159, 0.443] argmax [9, 0, 1] run095 {'null': 3, 'graded': 0, 'twostate': 0} Delta mean +1.53501 [+0.26071, +3.97288]
G2 weak d0 r2      inconclusive/mixed  pxp med n/g/t [0.632, 0.141, 0.195] max [1.0, 0.316, 0.49] argmax [8, 0, 2] run095 {'null': 2, 'graded': 0, 'twostate': 0} Delta mean +1.18017 [+0.22893, +6.78594]
G2 weak d1 r0      inconclusive/mixed  pxp med n/g/t [0.614, 0.023, 0.256] max [1.0, 0.314, 0.947] argmax [6, 0, 4] run095 {'null': 2, 'graded': 0, 'twostate': 0} Delta mean +0.64052 [+0.01045, +1.28948]
G2 weak d1 r1      inconclusive/mixed  pxp med n/g/t [0.809, 0.012, 0.124] max [1.0, 0.179, 0.849] argmax [7, 0, 3] run095 {'null': 3, 'graded': 0, 'twostate': 0} Delta mean +1.55015 [+0.20984, +5.16860]
G2 weak d1 r2      inconclusive/mixed  pxp med n/g/t [0.964, 0.004, 0.028] max [1.0, 0.166, 0.39] argmax [10, 0, 0] run095 {'null': 3, 'graded': 0, 'twostate': 0} Delta mean +0.59756 [+0.08422, +1.26134]
G2 strong d0 r0    inconclusive/mixed  pxp med n/g/t [0.22, 0.303, 0.47] max [0.323, 0.45, 0.958] argmax [0, 1, 9] run095 {'null': 0, 'graded': 0, 'twostate': 1} Delta mean +0.36703 [+0.16074, +0.83165]
G2 strong d0 r1    inconclusive/mixed  pxp med n/g/t [0.211, 0.305, 0.483] max [0.297, 0.652, 0.664] argmax [0, 2, 8] run095 {'null': 0, 'graded': 0, 'twostate': 0} Delta mean +0.38062 [+0.00801, +1.13701]
G2 strong d0 r2    inconclusive/mixed  pxp med n/g/t [0.235, 0.341, 0.351] max [0.321, 0.837, 0.78] argmax [0, 5, 5] run095 {'null': 0, 'graded': 0, 'twostate': 0} Delta mean +0.29177 [-0.01065, +1.23467]
G2 strong d1 r0    inconclusive/mixed  pxp med n/g/t [0.056, 0.192, 0.708] max [0.27, 0.611, 0.97] argmax [0, 1, 9] run095 {'null': 0, 'graded': 0, 'twostate': 1} Delta mean +0.41637 [+0.01902, +0.94174]
G2 strong d1 r1    inconclusive/mixed  pxp med n/g/t [0.13, 0.176, 0.685] max [0.283, 0.387, 0.958] argmax [0, 1, 9] run095 {'null': 0, 'graded': 0, 'twostate': 1} Delta mean +0.25956 [+0.01221, +0.87317]
G2 strong d1 r2    inconclusive/mixed  pxp med n/g/t [0.17, 0.202, 0.613] max [0.309, 0.371, 0.965] argmax [0, 0, 10] run095 {'null': 0, 'graded': 0, 'twostate': 1} Delta mean +0.14467 [+0.00115, +0.36397]
G3 weak d0 r0      inconclusive/mixed  pxp med n/g/t [0.999, 0.0, 0.0] max [1.0, 0.014, 0.026] argmax [10, 0, 0] run095 {'null': 10, 'graded': 0, 'twostate': 0} Delta mean +1.96653 [+0.06284, +6.98157]
G3 weak d0 r1      inconclusive/mixed  pxp med n/g/t [1.0, 0.0, 0.0] max [1.0, 0.011, 0.011] argmax [10, 0, 0] run095 {'null': 10, 'graded': 0, 'twostate': 0} Delta mean +0.65583 [+0.37111, +1.12142]
G3 weak d0 r2      inconclusive/mixed  pxp med n/g/t [1.0, 0.0, 0.0] max [1.0, 0.004, 0.012] argmax [10, 0, 0] run095 {'null': 10, 'graded': 0, 'twostate': 0} Delta mean +0.85319 [+0.32250, +1.43893]
G3 weak d1 r0      inconclusive/mixed  pxp med n/g/t [1.0, 0.0, 0.0] max [1.0, 0.22, 0.248] argmax [10, 0, 0] run095 {'null': 4, 'graded': 0, 'twostate': 0} Delta mean +1.63629 [+0.06301, +4.07495]
G3 weak d1 r1      inconclusive/mixed  pxp med n/g/t [1.0, 0.0, 0.0] max [1.0, 0.015, 0.015] argmax [10, 0, 0] run095 {'null': 10, 'graded': 0, 'twostate': 0} Delta mean +0.68047 [+0.10101, +1.39803]
G3 weak d1 r2      inconclusive/mixed  pxp med n/g/t [1.0, 0.0, 0.0] max [1.0, 0.014, 0.11] argmax [10, 0, 0] run095 {'null': 4, 'graded': 0, 'twostate': 0} Delta mean +1.19265 [+0.07679, +3.26826]
G3 strong d0 r0    inconclusive/mixed  pxp med n/g/t [0.704, 0.039, 0.17] max [1.0, 0.232, 0.388] argmax [9, 0, 1] run095 {'null': 2, 'graded': 0, 'twostate': 0} Delta mean +1.40079 [+0.20184, +7.98952]
G3 strong d0 r1    inconclusive/mixed  pxp med n/g/t [0.513, 0.215, 0.293] max [1.0, 0.296, 0.401] argmax [8, 0, 2] run095 {'null': 1, 'graded': 0, 'twostate': 0} Delta mean +0.64169 [+0.01274, +1.95405]
G3 strong d0 r2    inconclusive/mixed  pxp med n/g/t [0.65, 0.059, 0.231] max [1.0, 0.292, 0.966] argmax [9, 0, 1] run095 {'null': 1, 'graded': 0, 'twostate': 1} Delta mean +0.97266 [+0.35558, +1.89974]
G3 strong d1 r0    inconclusive/mixed  pxp med n/g/t [0.325, 0.213, 0.411] max [1.0, 0.312, 0.562] argmax [3, 0, 7] run095 {'null': 1, 'graded': 0, 'twostate': 0} Delta mean +1.67154 [+0.27111, +2.80096]
G3 strong d1 r1    inconclusive/mixed  pxp med n/g/t [0.699, 0.148, 0.153] max [1.0, 0.293, 0.342] argmax [10, 0, 0] run095 {'null': 2, 'graded': 0, 'twostate': 0} Delta mean +1.25554 [+0.03140, +3.40390]
G3 strong d1 r2    inconclusive/mixed  pxp med n/g/t [0.372, 0.295, 0.328] max [0.901, 0.397, 0.579] argmax [7, 1, 2] run095 {'null': 0, 'graded': 0, 'twostate': 0} Delta mean +0.28562 [+0.01210, +0.75095]
X1 weak d0 r0      inconclusive/mixed  pxp med n/g/t [1.0, 0.0, 0.0] max [1.0, 0.206, 0.215] argmax [10, 0, 0] run095 {'null': 5, 'graded': 0, 'twostate': 0} Delta mean +1.50978 [+0.30863, +6.84520]
X1 weak d0 r1      inconclusive/mixed  pxp med n/g/t [1.0, 0.0, 0.0] max [1.0, 0.025, 0.421] argmax [10, 0, 0] run095 {'null': 5, 'graded': 0, 'twostate': 0} Delta mean +1.00000 [+0.20848, +2.48047]
X1 weak d0 r2      inconclusive/mixed  pxp med n/g/t [0.999, 0.0, 0.001] max [1.0, 0.114, 0.127] argmax [10, 0, 0] run095 {'null': 4, 'graded': 0, 'twostate': 0} Delta mean +1.06140 [+0.08699, +2.35303]
X1 weak d1 r0      inconclusive/mixed  pxp med n/g/t [0.812, 0.015, 0.175] max [1.0, 0.248, 0.559] argmax [9, 0, 1] run095 {'null': 3, 'graded': 0, 'twostate': 0} Delta mean +0.46563 [-0.00751, +0.88385]
X1 weak d1 r1      inconclusive/mixed  pxp med n/g/t [0.99, 0.001, 0.006] max [1.0, 0.062, 0.257] argmax [10, 0, 0] run095 {'null': 3, 'graded': 0, 'twostate': 0} Delta mean +0.87711 [+0.09136, +1.90442]
X1 weak d1 r2      inconclusive/mixed  pxp med n/g/t [0.991, 0.004, 0.005] max [1.0, 0.29, 0.391] argmax [9, 0, 1] run095 {'null': 4, 'graded': 0, 'twostate': 0} Delta mean +0.88591 [+0.05481, +2.18426]
X1 strong d0 r0    inconclusive/mixed  pxp med n/g/t [0.402, 0.09, 0.414] max [1.0, 0.192, 0.909] argmax [5, 0, 5] run095 {'null': 1, 'graded': 0, 'twostate': 0} Delta mean +0.41154 [+0.02457, +0.89481]
X1 strong d0 r1    inconclusive/mixed  pxp med n/g/t [0.41, 0.105, 0.394] max [1.0, 0.27, 0.913] argmax [5, 0, 5] run095 {'null': 1, 'graded': 0, 'twostate': 0} Delta mean +0.49306 [+0.08315, +1.22597]
X1 strong d0 r2    inconclusive/mixed  pxp med n/g/t [0.246, 0.134, 0.537] max [0.987, 0.309, 0.895] argmax [3, 0, 7] run095 {'null': 1, 'graded': 0, 'twostate': 0} Delta mean +0.17237 [+0.03230, +0.42446]
X1 strong d1 r0    inconclusive/mixed  pxp med n/g/t [0.323, 0.058, 0.505] max [1.0, 0.272, 0.959] argmax [3, 0, 7] run095 {'null': 1, 'graded': 0, 'twostate': 1} Delta mean +1.30430 [+0.01233, +2.77609]
X1 strong d1 r1    inconclusive/mixed  pxp med n/g/t [0.273, 0.055, 0.532] max [0.846, 0.307, 0.991] argmax [3, 0, 7] run095 {'null': 0, 'graded': 0, 'twostate': 2} Delta mean +0.98186 [+0.37984, +1.92794]
X1 strong d1 r2    inconclusive/mixed  pxp med n/g/t [0.371, 0.031, 0.559] max [0.999, 0.231, 0.972] argmax [4, 0, 6] run095 {'null': 1, 'graded': 0, 'twostate': 1} Delta mean +0.56701 [+0.12669, +1.17104]
X2 weak d0 r0      inconclusive/mixed  pxp med n/g/t [1.0, 0.0, 0.0] max [1.0, 0.0, 0.0] argmax [10, 0, 0] run095 {'null': 10, 'graded': 0, 'twostate': 0} Delta mean +0.59886 [+0.03074, +1.18169]
X2 weak d0 r1      inconclusive/mixed  pxp med n/g/t [1.0, 0.0, 0.0] max [1.0, 0.0, 0.0] argmax [10, 0, 0] run095 {'null': 10, 'graded': 0, 'twostate': 0} Delta mean +2.79650 [+0.23854, +15.56501]
X2 weak d0 r2      inconclusive/mixed  pxp med n/g/t [1.0, 0.0, 0.0] max [1.0, 0.0, 0.0] argmax [10, 0, 0] run095 {'null': 10, 'graded': 0, 'twostate': 0} Delta mean +1.42999 [+0.20149, +3.79145]
X2 weak d1 r0      inconclusive/mixed  pxp med n/g/t [1.0, 0.0, 0.0] max [1.0, 0.0, 0.0] argmax [10, 0, 0] run095 {'null': 10, 'graded': 0, 'twostate': 0} Delta mean +1.11129 [+0.17304, +2.76804]
X2 weak d1 r1      inconclusive/mixed  pxp med n/g/t [1.0, 0.0, 0.0] max [1.0, 0.001, 0.002] argmax [10, 0, 0] run095 {'null': 10, 'graded': 0, 'twostate': 0} Delta mean +1.09621 [+0.25564, +4.39752]
X2 weak d1 r2      inconclusive/mixed  pxp med n/g/t [1.0, 0.0, 0.0] max [1.0, 0.0, 0.001] argmax [10, 0, 0] run095 {'null': 10, 'graded': 0, 'twostate': 0} Delta mean +1.56350 [+0.27411, +8.17557]
X2 strong d0 r0    inconclusive/mixed  pxp med n/g/t [1.0, 0.0, 0.0] max [1.0, 0.0, 0.0] argmax [10, 0, 0] run095 {'null': 10, 'graded': 0, 'twostate': 0} Delta mean +1.11621 [+0.49928, +1.82678]
X2 strong d0 r1    inconclusive/mixed  pxp med n/g/t [1.0, 0.0, 0.0] max [1.0, 0.0, 0.0] argmax [10, 0, 0] run095 {'null': 10, 'graded': 0, 'twostate': 0} Delta mean +1.77023 [+0.18297, +9.44647]
X2 strong d0 r2    inconclusive/mixed  pxp med n/g/t [1.0, 0.0, 0.0] max [1.0, 0.0, 0.0] argmax [10, 0, 0] run095 {'null': 10, 'graded': 0, 'twostate': 0} Delta mean +4.70833 [+0.16481, +22.89741]
X2 strong d1 r0    inconclusive/mixed  pxp med n/g/t [1.0, 0.0, 0.0] max [1.0, 0.0, 0.0] argmax [10, 0, 0] run095 {'null': 10, 'graded': 0, 'twostate': 0} Delta mean +0.73721 [+0.10804, +1.46118]
X2 strong d1 r1    inconclusive/mixed  pxp med n/g/t [1.0, 0.0, 0.0] max [1.0, 0.0, 0.0] argmax [10, 0, 0] run095 {'null': 10, 'graded': 0, 'twostate': 0} Delta mean +2.78245 [+0.46138, +5.84614]
X2 strong d1 r2    inconclusive/mixed  pxp med n/g/t [1.0, 0.0, 0.0] max [1.0, 0.0, 0.0] argmax [10, 0, 0] run095 {'null': 10, 'graded': 0, 'twostate': 0} Delta mean +2.50663 [+0.35735, +6.06156]
