C_self,R_self,CR,SR
456.5625,273.9375,0.6,0.625
417.4286,328.725,0.7875,1.1
328.725,12.3623,0.0376,0.0369
162.3333,11.1244,0.0685,0.1117
213.0625,26.9447,0.1265,0.1885
273.9375,292.2,1.0667,1.3333
639.1875,37.0543,0.058,0.1014
313.0714,39.8455,0.1273,0.1455
365.25,219.15,0.6,0.4
365.25,365.25,1.0,0.875
319.5938,15.1287,0.0473,0.0592
319.5938,16.7931,0.0525,0.0575
304.375,19.7844,0.065,0.1625
365.25,39.8455,0.1091,0.1091
328.725,14.717,0.0448,0.044
273.9375,11.7402,0.0429,0.1071
292.2,228.2812,0.7812,0.875
304.375,192.2368,0.6316,0.8421
365.25,208.7143,0.5714,0.7143
365.25,273.9375,0.75,1.0833
365.25,228.2812,0.625,0.5
260.8929,182.625,0.7,1.0833
319.5938,298.8409,0.9351,0.8182
136.9688,9.7141,0.0709,0.1064
260.8929,9.5615,0.0366,0.0524
438.3,319.5938,0.7292,0.875
417.4286,273.9375,0.6563,0.8333
417.4286,252.8654,0.6058,0.7692
365.25,309.0577,0.8462,1.0
304.375,169.5804,0.5571,1.4643
438.3,243.5,0.5556,0.6667
24.35,6.0875,0.25,0.4
487.0,199.2273,0.4091,0.4545
304.375,202.9167,0.6667,0.7778
547.875,232.4318,0.4242,0.5455
456.5625,334.8125,0.7333,0.9167
365.25,166.0227,0.4545,0.4545
410.9062,205.4531,0.5,0.5625
313.0714,284.0833,0.9074,0.7778
584.4,41.7429,0.0714,0.1286
401.775,337.1538,0.8392,1.0
417.4286,292.2,0.7,1.0
438.3,182.625,0.4167,0.6667
521.7857,334.8125,0.6417,1.0
365.25,208.7143,0.5714,0.5714
319.5938,73.05,0.2286,0.275
1095.75,228.2812,0.2083,0.375
284.0833,224.7692,0.7912,0.9231
298.8409,273.9375,0.9167,1.6667
324.6667,243.5,0.75,0.9333
168.5769,24.5317,0.1455,0.2463
365.25,219.15,0.6,0.9
194.8,37.2014,0.191,0.3704
136.9688,132.8182,0.9697,0.8182
417.4286,273.9375,0.6563,1.0
243.5,42.1442,0.1731,0.4103
511.35,196.6731,0.3846,0.5385
273.9375,232.4318,0.8485,1.1818
10.7779,10.903,1.0116,1.2597
243.5,284.0833,1.1667,0.7778
438.3,213.0625,0.4861,0.6667
252.8654,243.5,0.963,1.2
365.25,265.6364,0.7273,1.0909
260.8929,37.1441,0.1424,0.1356
319.5938,224.7692,0.7033,0.8462
208.7143,199.2273,0.9545,0.8182
182.625,162.3333,0.8889,0.7778
304.375,219.15,0.72,0.8
365.25,243.5,0.6667,0.5833
456.5625,273.9375,0.6,1.0
456.5625,273.9375,0.6,0.625
456.5625,199.2273,0.4364,0.4545
166.0227,29.4556,0.1774,0.2339
426.125,35.3468,0.0829,0.0753
319.5938,16.9884,0.0532,0.093
365.25,182.625,0.5,0.75
438.3,163.7328,0.3736,0.5517
339.1607,18.6624,0.055,0.0766
438.3,365.25,0.8333,1.2308
584.4,365.25,0.625,0.9091
365.25,224.7692,0.6154,0.6923
417.4286,298.8409,0.7159,0.7273
365.25,255.675,0.7,0.9
57.2941,35.4612,0.6189,0.5146
292.2,166.0227,0.5682,0.8182
438.3,9.7726,0.0223,0.0201
251.1094,31.4454,0.1252,0.3245
328.725,304.375,0.9259,1.3333
292.2,304.375,1.0417,1.5
243.5,17.3929,0.0714,0.1376
547.875,255.675,0.4667,0.6
365.25,162.3333,0.4444,0.4444
365.25,182.625,0.5,0.375
547.875,273.9375,0.5,1.0
304.375,255.675,0.84,0.9
104.3571,9.6481,0.0925,0.1208
456.5625,214.8529,0.4706,0.7059
292.2,309.0577,1.0577,1.2308
417.4286,13.0446,0.0312,0.0437
243.5,182.625,0.75,0.75
547.875,202.9167,0.3704,0.3333
365.25,284.0833,0.7778,0.7778
304.375,284.0833,0.9333,0.8889
292.2,84.2885,0.2885,0.2821
273.9375,182.625,0.6667,0.5
365.25,243.5,0.6667,0.6667
365.25,365.25,1.0,1.75
265.6364,211.4605,0.7961,1.3158
14.1692,11.0015,0.7764,1.244
164.3625,43.2016,0.2628,0.3871
410.9062,332.0455,0.8081,1.1818
298.8409,22.3622,0.0748,0.199
456.5625,243.5,0.5333,0.5556
304.375,309.0577,1.0154,1.4615
446.4167,18.1116,0.0406,0.0744
365.25,234.8036,0.6429,0.7143
328.725,280.9615,0.8547,1.3077
584.4,31.0851,0.0532,0.0957
328.725,243.5,0.7407,1.1333
13.0446,16.2093,1.2426,1.5207
365.25,284.0833,0.7778,1.0
365.25,309.0577,0.8462,1.6154
309.0577,236.3382,0.7647,1.1176
521.7857,304.375,0.5833,0.9167
304.375,319.5938,1.05,0.75
199.2273,13.2818,0.0667,0.1409
7.583,8.0149,1.0569,1.5204
182.625,162.3333,0.8889,0.6667
292.2,26.4674,0.0906,0.0942
456.5625,255.675,0.56,0.6
292.2,45.6562,0.1562,0.3523
365.25,273.9375,0.75,0.8333
365.25,10.7426,0.0294,0.0336
243.5,232.4318,0.9545,1.0909
365.25,273.9375,0.75,1.0
405.8333,365.25,0.9,1.1
292.2,202.9167,0.6944,0.5556
639.1875,255.675,0.4,0.8
168.5769,44.6417,0.2648,0.4444
608.75,199.2273,0.3273,0.5455
474.825,319.5938,0.6731,1.125
304.375,182.625,0.6,0.8
232.4318,41.5057,0.1786,0.3977
9.8274,9.2177,0.938,0.8549
469.6071,298.8409,0.6364,1.0909
243.5,18.2625,0.075,0.145
365.25,202.9167,0.5556,0.4444
547.875,60.875,0.1111,0.1333
324.6667,252.8654,0.7788,0.8462
298.8409,243.5,0.8148,0.9333
456.5625,243.5,0.5333,0.7778
469.6071,332.0455,0.7071,1.0
410.9062,328.725,0.8,1.2
292.2,16.2333,0.0556,0.1074
280.9615,43.1659,0.1536,0.3636
182.625,82.1812,0.45,0.625
260.8929,35.3468,0.1355,0.2151
487.0,12.0944,0.0248,0.0265
456.5625,304.375,0.6667,0.8333
365.25,162.3333,0.4444,0.4444
182.625,69.5714,0.381,1.0
511.35,255.675,0.5,0.8
456.5625,319.5938,0.7,0.875
23.5645,11.0347,0.4683,0.4683
304.375,168.5769,0.5538,1.0
273.9375,319.5938,1.1667,1.0
202.9167,14.4449,0.0712,0.1356
578.3125,87.8449,0.1519,0.2532
273.9375,284.0833,1.037,1.4444
14.2305,13.783,0.9686,0.9019
417.4286,252.8654,0.6058,0.9231
11.9754,6.9571,0.581,0.7714
12.175,4.4273,0.3636,0.3636
324.6667,328.725,1.0125,1.6
243.5,9.2177,0.0379,0.0789
398.4545,421.4423,1.0577,1.3846
205.4531,17.6993,0.0861,0.1101
156.5357,54.7875,0.35,0.225
365.25,252.8654,0.6923,1.0
319.5938,208.7143,0.6531,0.5714
456.5625,243.5,0.5333,0.5556
328.725,71.8525,0.2186,0.5246
365.25,324.6667,0.8889,1.6667
304.375,255.675,0.84,0.8
365.25,73.9196,0.2024,0.5
487.0,162.3333,0.3333,0.4444
9.3654,6.9351,0.7405,0.6835
332.0455,16.1734,0.0487,0.1402
547.875,304.375,0.5556,0.8333
401.775,78.2679,0.1948,0.2143
365.25,21.915,0.06,0.165
365.25,228.2812,0.625,0.625
5.9877,7.1153,1.1883,0.9935
12.175,4.4273,0.3636,0.2727
365.25,365.25,1.0,0.875
213.0625,68.8152,0.323,0.5797
8.9085,8.7224,0.9791,1.0119
11.4141,4.2971,0.3765,0.5529
547.875,228.2812,0.4167,0.375
410.9062,280.9615,0.6838,0.7692
292.2,152.1875,0.5208,0.4167
10.8849,11.0347,1.0138,1.5287
405.8333,309.0577,0.7615,1.2308
196.6731,15.4767,0.0787,0.1483
365.25,232.4318,0.6364,0.6364
313.0714,243.5,0.7778,0.6667
328.725,304.375,0.9259,1.4167
365.25,309.0577,0.8462,1.1538
9.3057,9.5283,1.0239,1.2145
365.25,319.5938,0.875,1.125
260.8929,232.4318,0.8909,0.7273
166.0227,7.4541,0.0449,0.0408
417.4286,332.0455,0.7955,1.0
608.75,319.5938,0.525,0.625
456.5625,243.5,0.5333,0.5556
365.25,228.2812,0.625,0.75
292.2,313.0714,1.0714,0.7857
15.2188,5.5341,0.3636,0.4545
365.25,109.575,0.3,0.3333
421.4423,273.9375,0.65,1.5
547.875,232.4318,0.4242,0.7273
365.25,228.2812,0.625,0.625
284.0833,251.1094,0.8839,1.875
531.2727,229.9722,0.4329,0.6296
292.2,160.71,0.55,1.12
365.25,365.25,1.0,1.6923
511.35,32.4667,0.0635,0.0889
438.3,292.2,0.6667,0.8
456.5625,219.15,0.48,0.5
410.9062,401.775,0.9778,1.6
365.25,365.25,1.0,1.0
511.35,365.25,0.7143,1.375
365.25,17.6024,0.0482,0.0522
182.625,265.6364,1.4545,1.3636
18.098,14.0066,0.7739,1.0472
304.375,45.6562,0.15,0.375
273.9375,146.1,0.5333,0.4
365.25,395.6875,1.0833,1.5833
502.2188,398.4545,0.7934,1.4545
438.3,182.625,0.4167,0.6667
313.0714,243.5,0.7778,0.6667
66.4091,54.7875,0.825,0.875
511.35,213.0625,0.4167,0.6667
365.25,328.725,0.9,1.7
232.4318,28.8355,0.1241,0.1579
202.9167,146.1,0.72,0.8
168.5769,23.1496,0.1373,0.2465
438.3,12.0247,0.0274,0.0658
304.375,219.15,0.72,0.6
365.25,273.9375,0.75,1.0
547.875,292.2,0.5333,0.9
332.0455,334.8125,1.0083,1.1667
511.35,255.675,0.5,0.7
213.0625,20.9914,0.0985,0.2126
10.2681,8.5689,0.8345,1.2053
487.0,328.725,0.675,1.1
393.3462,21.9699,0.0559,0.0789
324.6667,243.5,0.75,1.0
365.25,273.9375,0.75,1.0833
15.2188,6.6409,0.4364,0.4545
608.75,273.9375,0.45,0.75
608.75,6.5457,0.0108,0.0179
365.25,11.6216,0.0318,0.0364
280.9615,40.5833,0.1444,0.3095
426.125,365.25,0.8571,1.0
365.25,9.2973,0.0255,0.0291
292.2,273.9375,0.9375,0.75
273.9375,298.8409,1.0909,0.8182
487.0,199.2273,0.4091,0.4545
324.6667,304.375,0.9375,1.0833
365.25,265.6364,0.7273,0.9091
410.9062,332.0455,0.8081,0.9091
417.4286,243.5,0.5833,0.75
365.25,243.5,0.6667,0.7778
426.125,224.7692,0.5275,0.5385
365.25,12.0744,0.0331,0.0248
171.8824,37.6546,0.2191,0.3093
284.0833,273.9375,0.9643,1.0
401.775,85.225,0.2121,0.3167
243.5,98.3365,0.4038,0.3077
456.5625,20.8714,0.0457,0.0971
14.2835,8.4207,0.5895,0.7839
228.2812,106.5312,0.4667,0.875
199.2273,105.7303,0.5307,0.8421
639.1875,328.725,0.5143,0.8
365.25,365.25,1.0,1.1
401.775,24.0824,0.0599,0.0714
228.2812,60.875,0.2667,0.4889
319.5938,224.7692,0.7033,0.7692
511.35,193.3676,0.3782,0.4118
456.5625,15.8804,0.0348,0.0435
93.436,82.6981,0.8851,0.9057
309.0577,40.5833,0.1313,0.3571
365.25,243.5,0.6667,0.8889
292.2,33.407,0.1143,0.3415
112.3846,20.5197,0.1826,0.191
365.25,319.5938,0.875,1.0
365.25,168.5769,0.4615,0.4615
13.2474,9.1599,0.6914,1.0219
365.25,243.5,0.6667,0.8333
521.7857,280.9615,0.5385,1.0769
208.7143,202.9167,0.9722,1.2222
365.25,255.675,0.7,0.6
365.25,25.0171,0.0685,0.0959
265.6364,280.9615,1.0577,1.0769
319.5938,224.7692,0.7033,0.8462
300.7941,17.7407,0.059,0.1457
365.25,243.5,0.6667,0.7778
273.9375,7.6895,0.0281,0.0263
319.5938,170.45,0.5333,0.8667
46.381,48.3419,1.0423,1.0147
182.625,166.0227,0.9091,1.0
328.725,273.9375,0.8333,1.1667
456.5625,7.3937,0.0162,0.0243
61.9068,70.6935,1.1419,1.0
243.5,202.9167,0.8333,0.3333
182.625,23.5645,0.129,0.1398
298.8409,309.0577,1.0342,1.9231
273.9375,182.625,0.6667,0.75
255.675,13.6287,0.0533,0.1119
273.9375,202.9167,0.7407,0.4444
426.125,127.0435,0.2981,0.4348
292.2,319.5938,1.0938,1.125
298.8409,63.5217,0.2126,0.5652
405.8333,398.4545,0.9818,1.3636
502.2188,251.1094,0.5,0.75
365.25,168.5769,0.4615,0.4615
109.575,110.6818,1.0101,1.0303
319.5938,273.9375,0.8571,1.4167
18.9249,13.4037,0.7083,0.7309
365.25,182.625,0.5,0.625
324.6667,298.8409,0.9205,1.2727
273.9375,182.625,0.6667,0.8333
304.375,255.675,0.84,0.6
487.0,365.25,0.75,1.2
438.3,196.6731,0.4487,0.5385
446.4167,334.8125,0.75,1.8333
410.9062,332.0455,0.8081,1.0909
313.0714,298.8409,0.9545,1.2727
168.5769,113.3534,0.6724,1.1724
365.25,14.0481,0.0385,0.0299
5.7976,7.0016,1.2077,1.3099
438.3,365.25,0.8333,0.875
313.0714,328.725,1.05,1.0
313.0714,284.0833,0.9074,1.0
365.25,20.2917,0.0556,0.0657
265.6364,208.7143,0.7857,1.0714
292.2,162.3333,0.5556,0.6667
487.0,202.9167,0.4167,0.5556
446.4167,334.8125,0.75,0.9167
304.375,41.1549,0.1352,0.1408
365.25,324.6667,0.8889,1.3333
38.2643,12.175,0.3182,0.3303
417.4286,365.25,0.875,1.0909
469.6071,365.25,0.7778,1.1
208.7143,73.05,0.35,0.4
365.25,182.625,0.5,0.625
228.2812,11.6322,0.051,0.0637
182.625,260.8929,1.4286,1.4286
365.25,28.7275,0.0787,0.0787
219.15,16.7406,0.0764,0.175
182.625,11.9973,0.0657,0.1277
304.375,273.9375,0.9,1.5
456.5625,46.6277,0.1021,0.1064
260.8929,196.6731,0.7538,0.7692
6.7953,5.8534,0.8614,1.0929
639.1875,319.5938,0.5,0.875
469.6071,304.375,0.6481,1.0
446.4167,267.85,0.6,0.8
365.25,365.25,1.0,1.3
260.8929,182.625,0.7,0.75
243.5,202.9167,0.8333,0.6667
219.15,146.1,0.6667,0.7
426.125,243.5,0.5714,0.75
243.5,11.3696,0.0467,0.1012
162.3333,29.4556,0.1815,0.2419
59.4593,14.7278,0.2477,0.371
584.4,410.9062,0.7031,1.0
469.6071,304.375,0.6481,0.8333
324.6667,208.7143,0.6429,0.7857
328.725,214.8529,0.6536,0.7647
410.9062,73.05,0.1778,0.2727
365.25,265.6364,0.7273,0.9091
16.9097,13.9654,0.8259,0.9706
547.875,284.0833,0.5185,0.6667
70.4868,11.8518,0.1681,0.1858
365.25,243.5,0.6667,0.6667
324.6667,265.6364,0.8182,1.2727
292.2,298.8409,1.0227,1.4545
243.5,70.2404,0.2885,0.2692
426.125,252.8654,0.5934,0.6923
194.8,20.5197,0.1053,0.2528
91.3125,162.3333,1.7778,1.2222
365.25,58.9113,0.1613,0.1613
319.5938,273.9375,0.8571,0.9167
365.25,219.15,0.6,0.7
365.25,39.8455,0.1091,0.0909
365.25,304.375,0.8333,1.25
365.25,194.8,0.5333,0.6
438.3,319.5938,0.7292,0.75
199.2273,170.45,0.8556,1.0667
365.25,232.4318,0.6364,0.5455
255.675,280.9615,1.0989,2.1538
162.3333,28.0962,0.1731,0.2222
426.125,365.25,0.8571,1.1111
232.4318,15.8804,0.0683,0.1033
182.625,101.4583,0.5556,0.8611
313.0714,328.725,1.05,1.1
44.4223,51.5096,1.1595,1.0
365.25,309.0577,0.8462,1.1538
456.5625,29.4922,0.0646,0.0683
547.875,426.125,0.7778,1.1667
86.9643,95.2826,1.0957,1.7391
324.6667,243.5,0.75,1.0
405.8333,309.0577,0.7615,1.3077
332.0455,273.9375,0.825,1.0
365.25,159.7969,0.4375,0.5625
426.125,319.5938,0.75,1.0
304.375,192.2368,0.6316,1.0526
313.0714,324.6667,1.037,1.5556
365.25,267.85,0.7333,1.6
121.75,7.7057,0.0633,0.0717
243.5,24.0296,0.0987,0.0789
332.0455,251.1094,0.7562,1.0
243.5,232.4318,0.9545,1.3636
319.5938,12.7413,0.0399,0.0504
487.0,243.5,0.5,0.8333
487.0,365.25,0.75,1.25
365.25,267.85,0.7333,0.8667
313.0714,232.4318,0.7424,1.0909
10.1458,5.5341,0.5455,0.6364
199.2273,18.2625,0.0917,0.1643
304.375,284.0833,0.9333,1.0
456.5625,182.625,0.4,0.6
365.25,279.3088,0.7647,0.9412
162.3333,41.9139,0.2582,0.377
365.25,202.9167,0.5556,0.6667
405.8333,365.25,0.9,1.1667
162.3333,30.4375,0.1875,0.2604
438.3,243.5,0.5556,0.7778
219.15,228.2812,1.0417,0.875
365.25,219.15,0.6,0.6
365.25,146.1,0.4,0.45
232.4318,273.9375,1.1786,1.3333
365.25,146.1,0.4,0.5333
438.3,319.5938,0.7292,1.125
547.875,284.0833,0.5185,0.7778
10.5108,10.587,1.0072,1.3594
365.25,9.0934,0.0249,0.029
313.0714,273.9375,0.875,1.5
11.6747,7.4324,0.6366,0.9157
243.5,40.5833,0.1667,0.1667
313.0714,16.729,0.0534,0.0611
182.625,8.6964,0.0476,0.0437
365.25,280.9615,0.7692,1.0
7.024,9.1028,1.296,1.6729
265.6364,17.2107,0.0648,0.1152
45.0926,13.2818,0.2945,0.3394
8.1895,8.0149,0.9787,0.9028
547.875,273.9375,0.5,0.875
332.0455,309.0577,0.9308,1.5385
365.25,365.25,1.0,1.3636
234.8036,13.9991,0.0596,0.1045
273.9375,17.7837,0.0649,0.1161
328.725,365.25,1.1111,1.3636
365.25,213.0625,0.5833,0.8333
15.2188,5.5341,0.3636,0.4545
456.5625,60.875,0.1333,0.1389
292.2,23.5645,0.0806,0.1129
334.8125,118.4595,0.3538,0.5676
502.2188,337.1538,0.6713,1.3077
417.4286,280.9615,0.6731,0.9231
417.4286,252.8654,0.6058,0.6154
12.175,4.87,0.4,0.5
10.3512,10.4689,1.0114,1.0764
365.25,255.675,0.7,0.7
456.5625,199.2273,0.4364,0.6364
417.4286,252.8654,0.6058,0.7692
260.8929,255.675,0.98,0.9
365.25,273.9375,0.75,0.75
573.9643,487.0,0.8485,1.2222
228.2812,65.5577,0.2872,0.3846
438.3,15.9672,0.0364,0.0328
584.4,252.8654,0.4327,0.6154
417.4286,292.2,0.7,1.2
208.7143,13.3303,0.0639,0.0912
417.4286,365.25,0.875,1.1111
328.725,243.5,0.7407,0.6667
328.725,304.375,0.9259,1.5
257.8235,26.7256,0.1037,0.2634
456.5625,337.1538,0.7385,1.0769
547.875,255.675,0.4667,0.7
456.5625,398.4545,0.8727,1.0
511.35,265.6364,0.5195,0.6364
319.5938,213.0625,0.6667,1.25
219.15,228.2812,1.0417,0.625
298.8409,50.2219,0.1681,0.425
365.25,280.9615,0.7692,1.0769
365.25,410.9062,1.125,1.25
296.7656,121.75,0.4103,1.0444
417.4286,280.9615,0.6731,0.8462
365.25,202.9167,0.5556,0.6667
426.125,243.5,0.5714,0.6667
456.5625,24.35,0.0533,0.0933
365.25,20.386,0.0558,0.1023
56.1923,39.8455,0.7091,0.7455
324.6667,298.8409,0.9205,1.0
487.0,224.7692,0.4615,0.6923
313.0714,213.0625,0.6806,0.5833
521.7857,487.0,0.9333,1.2222
182.625,82.4758,0.4516,0.4839
487.0,332.0455,0.6818,0.7273
7.6733,7.6779,1.0006,0.8108
365.25,337.1538,0.9231,1.2308
365.25,219.15,0.6,0.8
365.25,298.8409,0.8182,0.8182
292.2,17.3294,0.0593,0.1022
328.725,280.9615,0.8547,1.1538
417.4286,280.9615,0.6731,1.0
365.25,243.5,0.6667,1.1111
547.875,182.625,0.3333,0.375
228.2812,219.15,0.96,0.9
73.05,10.7426,0.1471,0.1618
334.8125,365.25,1.0909,1.7692
10.2681,10.5699,1.0294,1.5016
365.25,332.0455,0.9091,1.0909
12.175,4.4273,0.3636,0.3636
219.15,243.5,1.1111,1.1667
298.8409,280.9615,0.9402,1.7692
292.2,5.1993,0.0178,0.0214
487.0,265.6364,0.5455,1.0
502.2188,365.25,0.7273,1.0
438.3,292.2,0.6667,0.7
417.4286,243.5,0.5833,0.9167
182.625,199.2273,1.0909,1.6364
487.0,202.9167,0.4167,0.4444
182.625,65.5577,0.359,0.5128
304.375,273.9375,0.9,1.25
243.5,232.4318,0.9545,0.7273
74.7102,81.1667,1.0864,1.8889
365.25,8.8725,0.0243,0.0162
273.9375,7.8973,0.0288,0.027
9.74,5.5341,0.5682,0.4545
182.625,162.3333,0.8889,0.4444
608.75,273.9375,0.45,0.625
292.2,213.0625,0.7292,0.75
292.2,182.625,0.625,0.6667
365.25,243.5,0.6667,0.5556
511.35,213.0625,0.4167,0.75
469.6071,332.0455,0.7071,0.9091
365.25,243.5,0.6667,1.1111
365.25,113.3534,0.3103,0.4138
284.0833,224.7692,0.7912,0.7692
265.6364,214.8529,0.8088,0.9412
401.775,337.1538,0.8392,0.9231
13.9586,6.3706,0.4564,0.5669
365.25,202.9167,0.5556,0.4444
502.2188,21.01,0.0418,0.0531
18.0168,15.0738,0.8367,1.5905
365.25,211.4605,0.5789,0.6842
243.5,199.2273,0.8182,0.6364
255.675,27.4624,0.1074,0.2256
260.8929,199.2273,0.7636,0.7273
446.4167,365.25,0.8182,2.0
417.4286,15.0619,0.0361,0.0722
438.3,273.9375,0.625,0.75
511.35,159.7969,0.3125,0.5
365.25,182.625,0.5,0.5
456.5625,319.5938,0.7,0.875
531.2727,449.5385,0.8462,1.3077
456.5625,228.2812,0.5,0.75
243.5,52.1786,0.2143,0.4725
273.9375,162.3333,0.5926,0.4444
298.8409,109.575,0.3667,0.72
398.4545,292.2,0.7333,1.2
584.4,365.25,0.625,0.8889
313.0714,213.0625,0.6806,0.6667
365.25,334.8125,0.9167,1.25
469.6071,252.8654,0.5385,0.6923
243.5,232.4318,0.9545,1.1818
365.25,273.9375,0.75,0.75
456.5625,21.4853,0.0471,0.0588
438.3,213.0625,0.4861,0.5
365.25,273.9375,0.75,1.125
456.5625,319.5938,0.7,0.875
365.25,265.6364,0.7273,1.0909
252.8654,115.3421,0.4561,1.0789
182.625,12.9867,0.0711,0.1378
410.9062,334.8125,0.8148,0.8333
365.25,30.4375,0.0833,0.1042
194.8,26.3582,0.1353,0.2268
313.0714,243.5,0.7778,1.1111
730.5,365.25,0.5,1.0
456.5625,243.5,0.5333,0.6667
487.0,73.05,0.15,0.16
332.0455,309.0577,0.9308,1.2308
273.9375,292.2,1.0667,1.2
547.875,53.7132,0.098,0.1324
280.9615,68.0975,0.2424,0.5593
260.8929,17.3929,0.0667,0.0952
23.2757,15.4955,0.6657,0.6303
273.9375,255.675,0.9333,1.0
292.2,280.9615,0.9615,1.2308
365.25,196.6731,0.5385,0.4615
365.25,182.625,0.5,0.4
365.25,19.4512,0.0533,0.0651
365.25,199.2273,0.5455,0.7273
365.25,365.25,1.0,1.0769
487.0,112.3846,0.2308,0.3077
208.7143,228.2812,1.0938,1.125
313.0714,265.6364,0.8485,1.0909
456.5625,365.25,0.8,1.0
273.9375,263.7917,0.963,1.5
511.35,324.6667,0.6349,1.3333
446.4167,28.7275,0.0644,0.073
10.6255,9.8716,0.9291,1.1742
319.5938,243.5,0.7619,1.0
255.675,106.9024,0.4181,0.7317
196.6731,42.1442,0.2143,0.4487
365.25,365.25,1.0,1.1
162.3333,166.0227,1.0227,1.1818
365.25,265.6364,0.7273,0.9091
438.3,365.25,0.8333,0.875
8.2264,7.347,0.8931,0.8218
365.25,319.5938,0.875,0.625
284.0833,28.0962,0.0989,0.2308
9.4258,9.4733,1.005,1.6974
324.6667,20.0687,0.0618,0.0934
426.125,213.0625,0.5,1.0833
405.8333,292.2,0.72,0.9333
243.5,140.4808,0.5769,0.4615
10.3933,9.9014,0.9527,1.0211
502.2188,309.0577,0.6154,0.8462
313.0714,273.9375,0.875,1.75
182.625,199.2273,1.0909,0.8182
365.25,273.9375,0.75,1.0833
511.35,213.0625,0.4167,0.5833
319.5938,265.6364,0.8312,0.8182
273.9375,224.7692,0.8205,0.7692
121.75,7.8268,0.0643,0.075
608.75,273.9375,0.45,0.75
16.7546,11.7136,0.6991,1.0845
456.5625,162.3333,0.3556,0.4815
313.0714,224.7692,0.7179,0.7692
292.2,8.6964,0.0298,0.0333
319.5938,328.725,1.0286,1.3
324.6667,20.8054,0.0641,0.1013
